,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over
Alabama,0.063000,0.065000,0.067000,0.069000,0.071000,0.063000,0.063000,0.061000,0.067000,0.067000,0.072000,0.067000,0.060000,0.048000,0.036000,0.026000,0.018000,0.017000
Alaska,0.073852,0.070858,0.069860,0.067864,0.081836,0.078842,0.070858,0.061876,0.068862,0.067864,0.074850,0.071856,0.055888,0.030938,0.023952,0.012974,0.008982,0.007984
Arizona,0.067067,0.069069,0.070070,0.069069,0.072072,0.067067,0.066066,0.061061,0.066066,0.063063,0.065065,0.060060,0.057057,0.048048,0.037037,0.026026,0.019019,0.017017
Arkansas,0.065000,0.070000,0.067000,0.067000,0.070000,0.065000,0.064000,0.061000,0.064000,0.065000,0.069000,0.066000,0.058000,0.048000,0.038000,0.027000,0.019000,0.017000
California,0.066866,0.066866,0.066866,0.070858,0.076846,0.072854,0.070858,0.066866,0.068862,0.068862,0.068862,0.060878,0.051896,0.038922,0.027944,0.020958,0.016966,0.016966
Colorado,0.065130,0.069138,0.065130,0.066132,0.070140,0.073146,0.073146,0.067134,0.069138,0.068136,0.072144,0.068136,0.056112,0.042084,0.027054,0.020040,0.014028,0.014028
Connecticut,0.053892,0.059880,0.065868,0.071856,0.063872,0.060878,0.059880,0.057884,0.069860,0.077844,0.079840,0.070858,0.058882,0.046906,0.031936,0.024950,0.020958,0.023952
Delaware,0.061122,0.062124,0.062124,0.068136,0.072144,0.064128,0.060120,0.059118,0.063126,0.071142,0.074148,0.069138,0.059118,0.050100,0.038076,0.028056,0.019038,0.019038
Florida,0.054945,0.057942,0.057942,0.061938,0.067932,0.062937,0.060939,0.059940,0.064935,0.069930,0.071928,0.065934,0.060939,0.054945,0.043956,0.032967,0.024975,0.024975
Georgia,0.067864,0.070858,0.071856,0.071856,0.071856,0.066866,0.068862,0.066866,0.073852,0.070858,0.068862,0.061876,0.052894,0.040918,0.027944,0.019960,0.013972,0.011976
Hawaii,0.064064,0.060060,0.059059,0.059059,0.074074,0.074074,0.069069,0.063063,0.063063,0.064064,0.069069,0.066066,0.064064,0.048048,0.032032,0.024024,0.020020,0.027027
Idaho,0.071000,0.074000,0.078000,0.071000,0.071000,0.067000,0.065000,0.063000,0.060000,0.061000,0.065000,0.061000,0.060000,0.046000,0.031000,0.024000,0.015000,0.017000
Illinois,0.063063,0.065065,0.068068,0.069069,0.069069,0.070070,0.069069,0.064064,0.068068,0.069069,0.072072,0.065065,0.056056,0.042042,0.030030,0.023023,0.018018,0.019019
Indiana,0.064935,0.066933,0.068931,0.070929,0.072927,0.062937,0.063936,0.059940,0.065934,0.067932,0.072927,0.066933,0.057942,0.042957,0.032967,0.023976,0.018981,0.017982
Iowa,0.064000,0.066000,0.066000,0.069000,0.073000,0.063000,0.064000,0.057000,0.060000,0.065000,0.073000,0.067000,0.060000,0.044000,0.034000,0.029000,0.022000,0.024000
Kansas,0.069860,0.069860,0.069860,0.071856,0.072854,0.066866,0.064870,0.057884,0.061876,0.064870,0.070858,0.066866,0.054890,0.042914,0.028942,0.023952,0.019960,0.020958
Kentucky,0.063063,0.064064,0.067067,0.066066,0.070070,0.063063,0.065065,0.062062,0.068068,0.070070,0.073073,0.069069,0.060060,0.047047,0.034034,0.025025,0.017017,0.016016
Louisiana,0.066933,0.066933,0.069930,0.067932,0.073926,0.071928,0.068931,0.060939,0.061938,0.065934,0.071928,0.065934,0.056943,0.042957,0.031968,0.022977,0.016983,0.014985
Maine,0.049950,0.057942,0.055944,0.063936,0.059940,0.054945,0.055944,0.054945,0.066933,0.073926,0.083916,0.080919,0.070929,0.054945,0.038961,0.029970,0.023976,0.021978
Maryland,0.062124,0.064128,0.063126,0.067134,0.069138,0.069138,0.067134,0.061122,0.070140,0.075150,0.077154,0.066132,0.059118,0.043086,0.030060,0.021042,0.017034,0.018036
Massachusetts,0.054890,0.056886,0.060878,0.070858,0.070858,0.069860,0.063872,0.057884,0.070858,0.074850,0.075848,0.068862,0.058882,0.044910,0.031936,0.023952,0.019960,0.023952
Michigan,0.057942,0.062937,0.066933,0.070929,0.071928,0.058941,0.058941,0.056943,0.066933,0.070929,0.076923,0.071928,0.061938,0.046953,0.032967,0.024975,0.019980,0.020979
Minnesota,0.065000,0.068000,0.065000,0.067000,0.066000,0.068000,0.069000,0.060000,0.065000,0.070000,0.076000,0.068000,0.058000,0.041000,0.031000,0.024000,0.018000,0.021000
Mississippi,0.068068,0.070070,0.071071,0.075075,0.075075,0.061061,0.064064,0.061061,0.065065,0.064064,0.068068,0.065065,0.057057,0.044044,0.034034,0.024024,0.017017,0.016016
Missouri,0.062124,0.065130,0.066132,0.068136,0.070140,0.066132,0.065130,0.057114,0.064128,0.068136,0.074148,0.068136,0.059118,0.046092,0.035070,0.026052,0.020040,0.019038
Montana,0.059059,0.066066,0.058058,0.063063,0.071071,0.062062,0.061061,0.057057,0.057057,0.063063,0.078078,0.078078,0.069069,0.052052,0.037037,0.028028,0.019019,0.021021
Nebraska,0.071071,0.071071,0.068068,0.068068,0.071071,0.068068,0.066066,0.061061,0.059059,0.064064,0.071071,0.066066,0.057057,0.042042,0.030030,0.025025,0.020020,0.021021
Nevada,0.066000,0.068000,0.067000,0.064000,0.068000,0.071000,0.072000,0.066000,0.072000,0.069000,0.067000,0.064000,0.056000,0.047000,0.033000,0.022000,0.016000,0.012000
New Hampshire,0.049950,0.055944,0.062937,0.070929,0.063936,0.057942,0.054945,0.057942,0.069930,0.079920,0.085914,0.076923,0.065934,0.048951,0.033966,0.024975,0.019980,0.018981
New Jersey,0.059059,0.063063,0.066066,0.066066,0.063063,0.063063,0.064064,0.063063,0.072072,0.077077,0.077077,0.067067,0.058058,0.044044,0.032032,0.024024,0.020020,0.021021
New Mexico,0.068931,0.071928,0.066933,0.071928,0.068931,0.068931,0.062937,0.059940,0.058941,0.062937,0.069930,0.065934,0.061938,0.047952,0.032967,0.024975,0.016983,0.016983
New York,0.059118,0.058116,0.061122,0.067134,0.074148,0.073146,0.068136,0.062124,0.067134,0.072144,0.073146,0.066132,0.058116,0.043086,0.032064,0.024048,0.020040,0.021042
North Carolina,0.062937,0.066933,0.066933,0.067932,0.070929,0.063936,0.063936,0.064935,0.070929,0.069930,0.069930,0.064935,0.057942,0.046953,0.033966,0.023976,0.016983,0.015984
North Dakota,0.064000,0.064000,0.057000,0.070000,0.090000,0.074000,0.068000,0.056000,0.055000,0.060000,0.072000,0.066000,0.060000,0.039000,0.033000,0.025000,0.024000,0.023000
Ohio,0.060060,0.064064,0.066066,0.069069,0.068068,0.062062,0.062062,0.057057,0.066066,0.069069,0.076076,0.071071,0.062062,0.046046,0.034034,0.026026,0.020020,0.021021
Oklahoma,0.068931,0.069930,0.067932,0.067932,0.073926,0.068931,0.066933,0.060939,0.061938,0.062937,0.069930,0.064935,0.054945,0.044955,0.034965,0.024975,0.017982,0.016983
Oregon,0.060060,0.062062,0.061061,0.063063,0.068068,0.067067,0.070070,0.063063,0.067067,0.064064,0.070070,0.071071,0.065065,0.049049,0.035035,0.024024,0.019019,0.021021
Pennsylvania,0.056000,0.059000,0.061000,0.068000,0.070000,0.063000,0.060000,0.056000,0.066000,0.071000,0.076000,0.073000,0.061000,0.048000,0.035000,0.028000,0.024000,0.025000
Rhode Island,0.053053,0.053053,0.062062,0.072072,0.080080,0.063063,0.060060,0.058058,0.066066,0.072072,0.078078,0.070070,0.061061,0.044044,0.033033,0.025025,0.022022,0.027027
South Carolina,0.062000,0.065000,0.064000,0.068000,0.073000,0.064000,0.063000,0.060000,0.067000,0.068000,0.069000,0.068000,0.061000,0.052000,0.037000,0.026000,0.017000,0.016000
South Dakota,0.070000,0.071000,0.065000,0.071000,0.070000,0.067000,0.066000,0.056000,0.057000,0.062000,0.071000,0.070000,0.059000,0.039000,0.035000,0.024000,0.023000,0.024000
Tennessee,0.061938,0.064935,0.064935,0.065934,0.069930,0.064935,0.064935,0.063936,0.067932,0.068931,0.070929,0.066933,0.059940,0.048951,0.034965,0.024975,0.018981,0.015984
Texas,0.074000,0.075000,0.075000,0.072000,0.074000,0.072000,0.072000,0.068000,0.069000,0.066000,0.066000,0.058000,0.049000,0.038000,0.026000,0.019000,0.014000,0.013000
Utah,0.090090,0.088088,0.085085,0.078078,0.083083,0.077077,0.079079,0.068068,0.057057,0.054054,0.054054,0.051051,0.040040,0.031031,0.023023,0.017017,0.013013,0.011011
Vermont,0.049900,0.052894,0.058882,0.071856,0.071856,0.056886,0.054890,0.051896,0.065868,0.071856,0.083832,0.081836,0.069860,0.051896,0.036926,0.025948,0.020958,0.021956
Virginia,0.061938,0.062937,0.063936,0.067932,0.070929,0.069930,0.068931,0.064935,0.069930,0.072927,0.072927,0.064935,0.057942,0.043956,0.031968,0.021978,0.015984,0.015984
Washington,0.064000,0.062000,0.065000,0.065000,0.070000,0.071000,0.070000,0.065000,0.068000,0.068000,0.073000,0.067000,0.061000,0.045000,0.031000,0.021000,0.017000,0.017000
West Virginia,0.057000,0.057000,0.059000,0.060000,0.069000,0.057000,0.061000,0.059000,0.065000,0.068000,0.075000,0.074000,0.073000,0.053000,0.041000,0.030000,0.022000,0.020000
Wisconsin,0.061122,0.065130,0.065130,0.068136,0.068136,0.064128,0.064128,0.058116,0.064128,0.071142,0.077154,0.070140,0.060120,0.043086,0.033066,0.025050,0.021042,0.021042
Wyoming,0.066132,0.067134,0.067134,0.067134,0.072144,0.072144,0.067134,0.056112,0.063126,0.062124,0.073146,0.074148,0.063126,0.042084,0.033066,0.021042,0.017034,0.016032
