,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over
Alabama,288897,299117,314609,336176,326341,323695,305183,305656,290350,310367,319963,329812,321365,268718,212195,141230,98405,82668
Alaska,52919,54491,48746,47758,54320,62707,55442,55766,41358,41908,47144,49003,45192,34504,22334,12092,8071,6040
Arizona,435041,439162,478839,476414,475452,499445,453882,442224,417233,429169,421272,433857,413430,394533,306632,230010,138737,130938
Arkansas,186640,199930,199660,209425,200226,197480,185306,190300,180696,185059,190828,194372,187333,162714,128881,96547,55188,53694
California,2460425,2468508,2597863,2569487,2761097,3124228,2893997,2706394,2526483,2606810,2552937,2495755,2267852,1835876,1362679,927803,657869,720590
Colorado,332593,346265,369721,361580,374927,436176,430994,399860,362296,368199,346557,367628,336659,278796,202548,127314,80877,84164
Connecticut,182194,195071,224082,244257,248726,222189,221952,217358,204022,247645,267680,268023,243891,189220,149858,97385,72294,92337
Delaware,54907,56924,57597,59926,58899,69339,61610,60156,50912,58755,65777,67129,66791,58619,45739,31501,18454,18904
Florida,1129322,1140517,1200363,1228077,1265944,1398111,1309726,1295431,1240336,1344398,1416939,1456547,1343457,1272449,1072420,796315,528536,545512
Georgia,655223,688623,735809,743722,709976,732221,689145,717129,667007,715848,702441,671921,598464,499779,370690,248365,147304,135712
Hawaii,89573,86081,84064,76644,93432,104970,101094,95529,86308,86219,87389,94201,88284,84228,60633,41100,31262,36527
Idaho,116226,119492,131776,126390,111271,112022,109506,115822,99835,100426,97954,109621,104008,93035,67331,42089,30420,29719
Illinois,767348,777382,844216,845473,860547,899293,866136,863272,783868,830570,847694,868447,800182,639510,484114,332000,243066,248905
Indiana,419552,434312,448343,463660,465634,448004,420012,424639,393844,423910,432063,447621,421338,352941,246821,178790,115591,129743
Iowa,198623,203009,206217,219467,224486,197362,195425,195794,178679,187630,195286,218856,200253,170256,120848,88688,68663,76169
Kansas,193049,207461,193992,202392,211701,196486,187625,185178,169446,165918,177303,190176,184945,145748,109892,73708,54149,63954
Kentucky,276356,279149,286155,301177,292399,301958,271813,278272,277398,286238,298007,315741,280478,243026,181163,128011,81324,75524
Louisiana,306213,305733,311993,321797,318320,329357,325119,319624,268649,277858,299568,306691,297300,245624,175195,120561,79230,75501
Maine,64390,69707,73513,82287,74270,79732,78981,76604,74514,87276,97547,108626,101719,90691,68470,42992,29842,34746
Maryland,363313,364376,387944,381890,387050,420917,416354,403921,368615,410556,433986,428485,382184,302132,230763,157139,103474,109078
Massachusetts,360336,364268,396449,460059,490134,500228,471919,423417,412345,453335,489059,486459,443987,360704,275332,183647,130200,157941
Michigan,572370,581055,628301,666157,695118,674391,591970,593701,563692,645451,682972,718892,683128,554206,424033,284503,194388,207983
Minnesota,353860,361500,367960,361857,353013,373878,384929,379402,321734,343229,365675,394482,356183,288543,204268,149137,100234,116722
Mississippi,182467,194302,214312,225268,208410,187806,174917,203280,174622,181253,189969,195996,185779,159420,120287,83652,53475,48885
Missouri,374001,375209,400738,405662,407647,418070,396392,382719,346445,372620,400856,427294,395610,332513,251174,186143,117341,123098
Montana,61405,64135,65625,64773,70889,67273,65394,66289,58745,58925,64386,72861,79577,66401,47867,33895,21226,20827
Nebraska,131679,130641,136511,128798,133193,129807,129264,129806,106151,108763,116748,126181,117629,97906,69940,51449,34765,40845
Nevada,184055,193972,190212,181284,185336,221581,214479,205944,194062,201364,195351,196390,175330,158629,127966,83265,47576,41243
New Hampshire,63523,68021,77507,86749,88990,82223,81654,75963,75724,92704,103436,113302,96678,84188,58916,35856,26836,30525
New Jersey,520361,533631,574204,575850,567060,581934,580460,594502,565289,621473,656487,640344,577577,446574,354995,249178,173539,192186
New Mexico,126427,134970,144707,146388,144103,137091,136972,133200,116944,117799,121985,141515,136040,118751,93420,59705,40499,37554
New York,1157597,1117817,1163438,1237311,1352104,1516772,1406595,1299252,1172461,1289648,1371569,1346547,1257239,1011370,775030,548271,381396,444982
North Carolina,601181,629442,665657,694964,690990,701761,650393,658760,646512,704472,685573,684650,629066,556975,430972,280661,182832,178558
North Dakota,52802,49455,46420,47099,63713,59646,54733,45945,43461,39645,42671,48512,48622,35023,26426,18662,15778,16780
Ohio,695130,702748,744908,776500,757438,796348,729053,724724,658302,744721,774940,826621,787560,652136,466276,340194,232130,248880
Oklahoma,262561,264705,274269,273420,269495,275231,263230,256787,229618,230078,238070,255094,237174,197015,154480,110174,71053,68410
Oregon,232253,242751,250856,252475,263246,290003,288531,287500,261989,265052,252783,267444,279025,248892,183646,121484,75801,79045
Pennsylvania,705018,709879,779203,823389,827206,867486,814236,755069,734152,822573,877269,924152,889362,738330,540521,392826,274580,330286
Rhode Island,55019,55184,59103,74913,78451,76079,69677,66719,56468,68017,74640,75391,73406,59463,41622,27998,24130,23359
South Carolina,289539,307672,317060,336804,329443,341196,307283,318823,300940,312511,331643,331877,333761,301278,236364,151400,93394,83381
South Dakota,60460,60363,58561,57162,58561,58022,58039,57816,42165,46861,52650,60022,57098,47375,34270,23052,17709,19480
Tennessee,405128,406018,437851,441907,436627,474567,430791,441556,400292,441750,450078,449469,429550,363246,279404,193477,121240,113033
Texas,2020164,2014510,2105315,2029893,1985368,2085081,2037658,1971837,1861202,1822417,1716972,1673649,1515038,1188268,902080,597625,403104,374415
Utah,253089,258779,262032,244357,256541,236140,217298,229743,194436,168685,148312,150602,146624,116073,85794,57647,38553,37128
Vermont,30096,31828,34982,40017,47467,37979,35885,37205,32032,38776,43999,48173,48068,39715,31246,19805,13089,13295
Virginia,501972,513476,534952,550916,589483,583238,581928,580953,526777,563478,577855,568971,524417,443619,318660,219529,143449,146347
Washington,455015,465172,456754,445939,480895,564582,540761,525459,451908,479068,467072,484105,471254,393043,290895,181954,124238,127629
West Virginia,97887,104233,107906,114946,111535,108237,100360,109842,110791,117380,120359,124846,136963,121254,86330,64363,40293,38332
Wisconsin,333985,347700,374137,379515,401915,360889,366225,372261,326665,362202,398973,429312,385520,323943,229783,159844,116201,126413
Wyoming,37910,40293,38498,38542,36372,39254,40568,36845,33756,31142,33840,43939,37919,32431,22801,15620,9090,10495
