,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over
Michigan,582695,622199,661704,720961,701209,582695,582695,592571,651828,720961,760466,701209,612323,424676,316037,246904,197523,197523
Minnesota,352760,358105,352760,368795,352760,368795,352760,310001,358105,390174,411554,358105,304657,208449,160345,128276,101552,106897
Mississippi,205517,202538,220409,226366,208495,190624,187646,187646,196581,199560,205517,190624,169775,119140,98290,68505,56591,44677
Missouri,378673,396705,390694,420748,414737,402716,384684,366651,372662,420748,450801,402716,354630,258459,198352,150267,120213,120213
Montana,60890,63884,58893,65881,71870,63884,61888,55899,54900,66879,77859,79855,65881,47913,35935,24954,21960,19963
Nebraska,130827,130827,123456,130827,128984,127142,117929,106873,112401,123456,132670,119771,105030,68177,57121,47908,35010,38695
Nevada,185185,190632,174292,179739,182462,196079,190632,187909,193355,190632,185185,166122,160675,117102,89869,59913,38126,35403
New Hampshire,67227,77773,81728,90955,85682,73818,72500,80409,93591,109410,113364,97546,88318,56682,44818,31636,26363,25045
New Jersey,538090,555732,582196,591017,546911,555732,564553,564553,652765,688050,679228,582196,502805,361667,264634,211707,185244,185244
New Mexico,143673,139509,149920,145755,147837,141591,133262,122851,122851,137426,145755,141591,124933,91617,70795,49973,37480,33315
New York,1148446,1148446,1187377,1343098,1420959,1401494,1304168,1226307,1343098,1440424,1440424,1284703,1109516,798073,603421,467164,389303,408769
North Carolina,627666,627666,656635,666291,675948,618009,627666,627666,695260,695260,675948,627666,560071,415225,318661,231753,164158,144846
North Dakota,46507,43087,37616,46507,62237,50610,43087,36932,38300,43771,50610,46507,40351,25305,22569,15730,17098,17098
Ohio,704242,750421,761966,808146,773511,715786,704242,692697,761966,819691,888961,796601,715786,484887,380983,300168,242443,230899
Oklahoma,265405,257822,261614,265405,272988,265405,250239,235073,231281,250239,265405,242656,216115,159243,128911,94787,72038,60664
Oregon,240055,232311,243927,247798,263286,263286,267158,243927,259414,255542,274901,271030,255542,174233,131643,92924,73565,77437
Pennsylvania,726344,751830,790058,892002,879259,790058,751830,751830,828287,930230,993945,904744,790058,560686,433258,356800,305829,318572
Rhode Island,55719,60975,62026,77796,82001,66232,63078,63078,70437,77796,82001,72539,63078,44154,31539,27333,24179,26282
South Carolina,304149,299470,299470,327546,336904,299470,294791,290112,313508,322866,327546,308829,299470,224603,159093,116980,84226,70188
South Dakota,58509,56037,54389,59333,58509,54389,50269,46148,50269,56037,60157,52741,48620,33787,26370,21426,17305,20602
Tennessee,397007,403411,429024,429024,441831,416217,416217,403411,435428,461041,461041,422621,390604,281747,217714,160083,108857,108857
Texas,1951275,1976950,1899926,1899926,1874251,1848577,1822902,1771552,1745878,1745878,1694528,1463456,1258059,898613,641867,487818,359445,333770
Utah,262001,250732,236646,222560,233829,219743,222560,183119,163398,149312,154947,140861,115506,81699,61978,47892,33806,33806
Vermont,30695,32574,38212,45103,45103,35080,35706,34453,43223,47608,52620,50740,43223,30068,21298,16913,13155,11902
Virginia,510086,518182,518182,550569,582955,558665,542472,518182,591052,607245,599148,518182,477699,331960,242898,178125,129545,129545
Washington,437122,430292,443952,450782,484932,484932,471272,443952,471272,478102,498592,457612,416632,286861,198071,143430,109280,122940
West Virginia,103900,105755,109466,120598,122454,105755,113177,113177,120598,128020,141007,141007,131730,96478,70503,55660,42673,37107
Wisconsin,348417,365553,382688,399823,388400,365553,365553,336994,376976,422670,439806,394111,342706,234182,177064,142794,119947,119947
Wyoming,39202,35793,39202,38634,40339,40907,38634,34089,32385,36930,43748,44316,32385,24998,16476,14203,9090,7386
