,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over
Alabama,297769,302572,326586,336191,345797,307375,302572,297769,316980,340994,345797,312178,297769,220926,158490,124871,86449,81646
Alaska,54203,50590,52758,49867,58540,57094,49144,46976,46253,51312,56372,52758,38304,22404,15177,9395,6504,5059
Arizona,447292,453775,453775,453775,460257,440810,427845,401915,421362,414880,421362,388950,369502,291712,226887,168545,123167,110202
Arkansas,196844,196844,199782,196844,202720,190968,190968,182154,185092,202720,199782,188030,176278,132209,105767,82263,58759,49945
California,2525358,2525358,2563050,2751509,2864585,2751509,2638433,2525358,2638433,2638433,2600741,2261514,1922287,1356908,1017681,753838,603070,640762
Colorado,342825,347942,337708,337708,358175,378642,368409,342825,363292,358175,373526,342825,286540,189321,138153,97219,71635,76751
Connecticut,196938,222003,236326,254230,225584,218423,211261,207681,257811,286456,286456,247068,214842,157551,107421,89517,75194,89517
Delaware,55335,58056,56242,61685,65313,58963,55335,52613,60778,67127,66220,57149,58963,43542,31749,24492,17235,16328
Florida,1067222,1086279,1124394,1219682,1276855,1200625,1143452,1124394,1295912,1372143,1372143,1257797,1181567,990992,781359,609841,514553,457381
Georgia,677249,696879,706695,726325,706695,657619,667434,677249,716510,716510,677249,588912,530021,372977,265010,186488,127597,117782
Hawaii,87987,81113,83863,83863,98986,103110,89362,83863,92112,92112,96236,92112,86613,61866,45368,34370,30245,32995
Idaho,118873,122043,118873,115703,110948,103024,103024,96684,98269,99854,104609,101439,85589,66569,50719,36454,26944,23774
Illinois,823632,862240,862240,913717,887978,900848,875109,836501,875109,913717,939455,823632,720678,501901,373208,295992,231646,244515
Indiana,430116,443150,456184,475735,462701,417083,417083,404049,430116,449667,475735,430116,371464,267193,195507,149889,123821,117304
Iowa,199050,199050,202112,217423,217423,195987,189863,174551,186800,208237,223548,205174,186800,122492,104118,82682,70433,76557
Kansas,200986,198115,203857,206729,209600,195244,180887,169403,180887,192372,206729,189501,157918,109107,83265,71780,57424,60295
Kentucky,279638,288377,284008,297116,297116,279638,284008,275269,292746,314593,323332,288377,266530,192251,144188,104864,78648,74279
Louisiana,311088,306514,315663,320238,347687,324813,306514,279064,288214,315663,324813,297364,265340,178418,141819,105221,73197,68622
Maine,66409,75706,78363,86332,78363,73050,71722,78363,88988,103598,110239,102270,96957,66409,51799,39845,30548,29220
Maryland,361353,367182,378838,402151,396323,396323,378838,361353,419636,448778,448778,384667,338040,238959,163192,128222,99080,104909
Massachusetts,362314,382077,401839,461127,474302,447952,415014,401839,467715,507240,507240,454539,382077,270088,204213,164688,138338,151513
