,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over
South Dakota,0.069930,0.070929,0.066933,0.068931,0.068931,0.064935,0.063936,0.060939,0.052947,0.054945,0.062937,0.069930,0.064935,0.054945,0.033966,0.025974,0.019980,0.023976
Tennessee,0.061122,0.062124,0.064128,0.065130,0.067134,0.069138,0.064128,0.064128,0.062124,0.066132,0.068136,0.067134,0.063126,0.055110,0.039078,0.028056,0.018036,0.016032
Texas,0.072072,0.073073,0.074074,0.072072,0.071071,0.073073,0.072072,0.068068,0.066066,0.064064,0.062062,0.060060,0.052052,0.042042,0.030030,0.021021,0.014014,0.013013
Utah,0.083000,0.088000,0.083000,0.079000,0.083000,0.074000,0.073000,0.074000,0.060000,0.053000,0.049000,0.050000,0.046000,0.037000,0.025000,0.018000,0.013000,0.012000
Vermont,0.049000,0.053000,0.054000,0.067000,0.073000,0.060000,0.055000,0.055000,0.058000,0.065000,0.074000,0.079000,0.076000,0.064000,0.046000,0.030000,0.019000,0.023000
Virginia,0.060000,0.062000,0.062000,0.067000,0.069000,0.069000,0.068000,0.066000,0.064000,0.067000,0.071000,0.068000,0.061000,0.051000,0.036000,0.025000,0.017000,0.017000
Washington,0.061938,0.063936,0.060939,0.061938,0.065934,0.074925,0.071928,0.068931,0.060939,0.064935,0.065934,0.066933,0.062937,0.052947,0.036963,0.023976,0.015984,0.017982
West Virginia,0.056000,0.056000,0.058000,0.062000,0.063000,0.060000,0.058000,0.059000,0.063000,0.064000,0.069000,0.074000,0.071000,0.065000,0.046000,0.033000,0.020000,0.023000
Wisconsin,0.058000,0.062000,0.063000,0.066000,0.070000,0.062000,0.064000,0.062000,0.057000,0.063000,0.072000,0.074000,0.066000,0.054000,0.038000,0.027000,0.020000,0.022000
Wyoming,0.065065,0.075075,0.064064,0.064064,0.065065,0.069069,0.069069,0.062062,0.061061,0.057057,0.061061,0.067067,0.071071,0.052052,0.039039,0.025025,0.016016,0.017017
