,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over
Alabama,0.059264,0.061361,0.064539,0.068963,0.066945,0.066402,0.062605,0.062702,0.059562,0.063668,0.065637,0.067657,0.065924,0.055125,0.043529,0.028972,0.020187,0.016958
Alaska,0.071532,0.073657,0.065891,0.064556,0.073426,0.084763,0.074942,0.075380,0.055905,0.056648,0.063726,0.066239,0.061087,0.046640,0.030189,0.016345,0.010910,0.008164
Arizona,0.062005,0.062592,0.068247,0.067901,0.067764,0.071184,0.064690,0.063028,0.059466,0.061168,0.060042,0.061836,0.058924,0.056231,0.043703,0.032782,0.019774,0.018662
Arkansas,0.062125,0.066548,0.066459,0.069709,0.066647,0.065733,0.061681,0.063343,0.060146,0.061598,0.063519,0.064698,0.062355,0.054161,0.042899,0.032136,0.018370,0.017873
California,0.062231,0.062436,0.065708,0.064990,0.069836,0.079021,0.073198,0.068453,0.063902,0.065934,0.064571,0.063125,0.057361,0.046435,0.034466,0.023467,0.016639,0.018226
Colorado,0.059316,0.061754,0.065937,0.064485,0.066866,0.077789,0.076865,0.071312,0.064613,0.065666,0.061806,0.065564,0.060041,0.049721,0.036123,0.022706,0.014424,0.015010
Connecticut,0.050776,0.054365,0.062450,0.068073,0.069318,0.061922,0.061856,0.060576,0.056859,0.069017,0.074600,0.074696,0.067971,0.052734,0.041764,0.027140,0.020148,0.025734
Delaware,0.057080,0.059176,0.059876,0.062297,0.061229,0.072083,0.064048,0.062536,0.052926,0.061080,0.068380,0.069785,0.069434,0.060938,0.047549,0.032747,0.019184,0.019652
Florida,0.053817,0.054351,0.057203,0.058523,0.060328,0.066626,0.062414,0.061733,0.059108,0.064067,0.067523,0.069411,0.064022,0.060638,0.051106,0.037948,0.025187,0.025996
Georgia,0.062825,0.066027,0.070552,0.071310,0.068075,0.070208,0.066077,0.068760,0.063955,0.068638,0.067352,0.064426,0.057383,0.047920,0.035543,0.023814,0.014124,0.013012
Hawaii,0.062746,0.060300,0.058887,0.053690,0.065450,0.073532,0.070817,0.066919,0.060459,0.060397,0.061217,0.065988,0.061844,0.059002,0.042474,0.028791,0.021899,0.025587
Idaho,0.067694,0.069596,0.076750,0.073613,0.064808,0.065245,0.063780,0.067458,0.058147,0.058491,0.057051,0.063847,0.060577,0.054186,0.039216,0.024514,0.017718,0.017309
Illinois,0.059940,0.060723,0.065944,0.066042,0.067220,0.070246,0.067656,0.067432,0.061230,0.064878,0.066216,0.067837,0.062504,0.049954,0.037815,0.025933,0.018987,0.019443
Indiana,0.062931,0.065145,0.067250,0.069547,0.069844,0.067199,0.063000,0.063694,0.059075,0.063585,0.064808,0.067142,0.063199,0.052940,0.037022,0.026818,0.017338,0.019461
Iowa,0.063141,0.064535,0.065555,0.069767,0.071363,0.062740,0.062124,0.062242,0.056801,0.059646,0.062080,0.069573,0.063659,0.054123,0.038417,0.028193,0.021827,0.024214
Kansas,0.066269,0.071216,0.066592,0.069476,0.072671,0.067449,0.064407,0.063567,0.058166,0.056955,0.060864,0.065283,0.063487,0.050032,0.037723,0.025302,0.018588,0.021954
Kentucky,0.062044,0.062671,0.064244,0.067617,0.065646,0.067792,0.061024,0.062474,0.062278,0.064263,0.066905,0.070886,0.062969,0.054561,0.040672,0.028739,0.018258,0.016956
Louisiana,0.065370,0.065267,0.066604,0.068696,0.067954,0.070310,0.069406,0.068233,0.057351,0.059316,0.063951,0.065472,0.063467,0.052435,0.037400,0.025737,0.016914,0.016118
Maine,0.048199,0.052180,0.055029,0.061596,0.055595,0.059684,0.059122,0.057342,0.055778,0.065331,0.073019,0.081313,0.076142,0.067887,0.051254,0.032182,0.022338,0.026009
Maryland,0.060030,0.060206,0.064100,0.063100,0.063952,0.069548,0.068794,0.066740,0.060906,0.067836,0.071707,0.070798,0.063148,0.049921,0.038129,0.025964,0.017097,0.018023
Massachusetts,0.052528,0.053102,0.057793,0.067066,0.071450,0.072921,0.068795,0.061724,0.060110,0.066086,0.071293,0.070914,0.064723,0.052582,0.040137,0.026771,0.018980,0.023024
Michigan,0.057454,0.058325,0.063068,0.066868,0.069775,0.067694,0.059421,0.059595,0.056582,0.064789,0.068556,0.072161,0.068571,0.055630,0.042564,0.028558,0.019512,0.020877
Minnesota,0.063454,0.064824,0.065983,0.064888,0.063302,0.067044,0.069026,0.068035,0.057694,0.061548,0.065573,0.070739,0.063871,0.051742,0.036629,0.026743,0.017974,0.020931
Mississippi,0.061146,0.065112,0.071818,0.075489,0.069840,0.062936,0.058616,0.068121,0.058517,0.060740,0.063660,0.065680,0.062256,0.053423,0.040309,0.028033,0.017920,0.016382
Missouri,0.061176,0.061374,0.065549,0.066355,0.066679,0.068384,0.064838,0.062602,0.056669,0.060950,0.065569,0.069893,0.064711,0.054390,0.041085,0.030448,0.019194,0.020135
