,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over
Montana,0.058454,0.061052,0.062471,0.061660,0.067482,0.064039,0.062251,0.063103,0.055921,0.056093,0.061291,0.069359,0.075752,0.063209,0.045566,0.032266,0.020206,0.019826
Nebraska,0.068580,0.068039,0.071097,0.067080,0.069369,0.067605,0.067322,0.067605,0.055285,0.056645,0.060804,0.065717,0.061263,0.050991,0.036426,0.026795,0.018106,0.021273
Nevada,0.061392,0.064700,0.063445,0.060468,0.061819,0.073909,0.071540,0.068693,0.064730,0.067165,0.065160,0.065506,0.058482,0.052911,0.042683,0.027773,0.015869,0.013757
New Hampshire,0.047307,0.050656,0.057721,0.064603,0.066272,0.061233,0.060809,0.056571,0.056393,0.069038,0.077030,0.084378,0.071998,0.062696,0.043876,0.026703,0.019985,0.022732
New Jersey,0.057782,0.059255,0.063760,0.063943,0.062967,0.064619,0.064455,0.066014,0.062771,0.069009,0.072897,0.071105,0.064135,0.049588,0.039419,0.027669,0.019270,0.021341
New Mexico,0.060547,0.064639,0.069302,0.070107,0.069013,0.065654,0.065597,0.063791,0.056006,0.056415,0.058420,0.067773,0.065151,0.056871,0.044740,0.028593,0.019395,0.017985
New York,0.058319,0.056315,0.058613,0.062335,0.068118,0.076414,0.070863,0.065455,0.059068,0.064972,0.069099,0.067838,0.063339,0.050952,0.039046,0.027622,0.019214,0.022418
North Carolina,0.058518,0.061269,0.064794,0.067647,0.067260,0.068308,0.063308,0.064123,0.062931,0.068572,0.066733,0.066643,0.061232,0.054215,0.041950,0.027319,0.017797,0.017381
North Dakota,0.069900,0.065469,0.061451,0.062350,0.084344,0.078960,0.072456,0.060823,0.057534,0.052483,0.056488,0.064221,0.064366,0.046364,0.034983,0.024705,0.020887,0.022214
Ohio,0.059624,0.060277,0.063893,0.066603,0.064968,0.068306,0.062533,0.062162,0.056465,0.063877,0.066469,0.070902,0.067552,0.055936,0.039994,0.029180,0.019911,0.021347
Oklahoma,0.066795,0.067340,0.069773,0.069557,0.068559,0.070018,0.066965,0.065326,0.058414,0.058531,0.060564,0.064895,0.060336,0.050120,0.039299,0.028028,0.018076,0.017403
Oregon,0.056062,0.058596,0.060553,0.060943,0.063543,0.070002,0.069647,0.069398,0.063240,0.063979,0.061018,0.064557,0.067352,0.060079,0.044329,0.029324,0.018297,0.019080
Pennsylvania,0.055056,0.055435,0.060849,0.064299,0.064598,0.067743,0.063585,0.058964,0.057331,0.064236,0.068507,0.072168,0.069451,0.057657,0.042210,0.030676,0.021442,0.025792
Rhode Island,0.051922,0.052078,0.055777,0.070697,0.074036,0.071797,0.065755,0.062964,0.053290,0.064189,0.070439,0.071148,0.069275,0.056116,0.039279,0.026422,0.022772,0.022044
South Carolina,0.057627,0.061236,0.063104,0.067034,0.065569,0.067908,0.061159,0.063455,0.059896,0.062199,0.066007,0.066053,0.066428,0.059963,0.047044,0.030133,0.018588,0.016595
South Dakota,0.069521,0.069409,0.067337,0.065729,0.067337,0.066718,0.066737,0.066481,0.048484,0.053884,0.060540,0.069017,0.065655,0.054475,0.039406,0.026507,0.020363,0.022399
Tennessee,0.060323,0.060455,0.065195,0.065799,0.065013,0.070662,0.064144,0.065747,0.059603,0.065776,0.067016,0.066925,0.063959,0.054087,0.041603,0.028808,0.018052,0.016830
Texas,0.071372,0.071173,0.074381,0.071716,0.070143,0.073666,0.071990,0.069665,0.065756,0.064386,0.060661,0.059130,0.053526,0.041981,0.031870,0.021114,0.014242,0.013228
Utah,0.081593,0.083428,0.084477,0.078778,0.082706,0.076129,0.070055,0.074067,0.062684,0.054382,0.047814,0.048553,0.047270,0.037421,0.027659,0.018585,0.012429,0.011970
Vermont,0.048257,0.051034,0.056092,0.064165,0.076111,0.060897,0.057540,0.059656,0.051362,0.062175,0.070550,0.077243,0.077074,0.063681,0.050101,0.031756,0.020987,0.021318
Virginia,0.059265,0.060623,0.063158,0.065043,0.069596,0.068859,0.068704,0.068589,0.062193,0.066526,0.068224,0.067175,0.061914,0.052375,0.037622,0.025918,0.016936,0.017278
Washington,0.061441,0.062812,0.061676,0.060215,0.064935,0.076236,0.073019,0.070953,0.061021,0.064689,0.063069,0.065369,0.063634,0.053073,0.039280,0.024569,0.016776,0.017234
West Virginia,0.053907,0.057402,0.059424,0.063301,0.061423,0.059607,0.055269,0.060490,0.061013,0.064642,0.066282,0.068753,0.075426,0.066775,0.047542,0.035445,0.022190,0.021110
Wisconsin,0.057629,0.059995,0.064557,0.065485,0.069350,0.062271,0.063191,0.064233,0.056365,0.062497,0.068842,0.074077,0.066521,0.055896,0.039649,0.027581,0.020050,0.021812
Wyoming,0.065439,0.069553,0.066454,0.066530,0.062784,0.067759,0.070028,0.063601,0.058269,0.053757,0.058414,0.075846,0.065455,0.055982,0.039359,0.026963,0.015691,0.018116
