,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over
Alabama,0.064064,0.065065,0.067067,0.073073,0.071071,0.064064,0.062062,0.063063,0.066066,0.072072,0.072072,0.065065,0.058058,0.043043,0.034034,0.026026,0.018018,0.016016
Alaska,0.075075,0.070070,0.073073,0.072072,0.078078,0.077077,0.068068,0.058058,0.073073,0.079079,0.078078,0.071071,0.052052,0.029029,0.019019,0.012012,0.009009,0.006006
Arizona,0.071071,0.070070,0.071071,0.072072,0.069069,0.069069,0.065065,0.065065,0.063063,0.066066,0.065065,0.059059,0.056056,0.044044,0.034034,0.025025,0.019019,0.016016
Arkansas,0.066866,0.066866,0.068862,0.071856,0.067864,0.063872,0.061876,0.064870,0.062874,0.068862,0.069860,0.061876,0.058882,0.045908,0.034930,0.025948,0.019960,0.017964
California,0.067932,0.067932,0.068931,0.075924,0.074925,0.072927,0.068931,0.068931,0.069930,0.071928,0.068931,0.058941,0.049950,0.034965,0.025974,0.020979,0.015984,0.015984
Colorado,0.068000,0.070000,0.065000,0.068000,0.069000,0.073000,0.071000,0.071000,0.068000,0.073000,0.074000,0.066000,0.054000,0.036000,0.026000,0.019000,0.015000,0.014000
Connecticut,0.056056,0.062062,0.067067,0.070070,0.064064,0.060060,0.058058,0.062062,0.073073,0.081081,0.080080,0.066066,0.058058,0.042042,0.030030,0.025025,0.021021,0.024024
Delaware,0.062062,0.062062,0.063063,0.075075,0.069069,0.063063,0.060060,0.063063,0.066066,0.075075,0.073073,0.067067,0.057057,0.048048,0.033033,0.024024,0.021021,0.018018
Florida,0.057114,0.057114,0.060120,0.065130,0.066132,0.062124,0.059118,0.063126,0.066132,0.074148,0.071142,0.065130,0.060120,0.051102,0.041082,0.032064,0.025050,0.024048
Georgia,0.070000,0.073000,0.071000,0.074000,0.070000,0.068000,0.068000,0.071000,0.074000,0.074000,0.069000,0.059000,0.053000,0.037000,0.026000,0.018000,0.013000,0.012000
