,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over
Hawaii,0.064064,0.060060,0.061061,0.063063,0.072072,0.069069,0.064064,0.063063,0.066066,0.071071,0.071071,0.067067,0.063063,0.044044,0.031031,0.026026,0.021021,0.023023
Idaho,0.077077,0.076076,0.076076,0.074074,0.068068,0.067067,0.066066,0.058058,0.065065,0.066066,0.067067,0.061061,0.053053,0.039039,0.031031,0.021021,0.017017,0.017017
Illinois,0.064806,0.066800,0.068794,0.071785,0.067797,0.070788,0.067797,0.065803,0.068794,0.072782,0.072782,0.063809,0.051844,0.037886,0.028913,0.021934,0.017946,0.018943
Indiana,0.067000,0.070000,0.069000,0.073000,0.070000,0.064000,0.063000,0.063000,0.066000,0.073000,0.073000,0.065000,0.054000,0.039000,0.031000,0.024000,0.019000,0.017000
Iowa,0.065000,0.065000,0.066000,0.072000,0.069000,0.065000,0.061000,0.058000,0.062000,0.071000,0.073000,0.066000,0.058000,0.041000,0.033000,0.027000,0.023000,0.025000
Kansas,0.072144,0.073146,0.068136,0.073146,0.071142,0.068136,0.062124,0.060120,0.062124,0.071142,0.071142,0.063126,0.053106,0.038076,0.029058,0.023046,0.020040,0.021042
Kentucky,0.063936,0.064935,0.066933,0.068931,0.067932,0.064935,0.064935,0.064935,0.067932,0.073926,0.072927,0.067932,0.056943,0.041958,0.032967,0.023976,0.017982,0.015984
Louisiana,0.069000,0.069000,0.067000,0.071000,0.075000,0.072000,0.065000,0.063000,0.064000,0.071000,0.072000,0.065000,0.054000,0.039000,0.030000,0.022000,0.017000,0.015000
Maine,0.052000,0.056000,0.060000,0.065000,0.061000,0.055000,0.054000,0.060000,0.070000,0.080000,0.083000,0.074000,0.071000,0.049000,0.036000,0.029000,0.024000,0.021000
Maryland,0.063000,0.064000,0.065000,0.071000,0.068000,0.068000,0.064000,0.065000,0.073000,0.079000,0.076000,0.065000,0.056000,0.039000,0.028000,0.022000,0.017000,0.017000
Massachusetts,0.056000,0.060000,0.061000,0.070000,0.073000,0.067000,0.062000,0.063000,0.073000,0.078000,0.076000,0.064000,0.059000,0.040000,0.030000,0.025000,0.021000,0.022000
Michigan,0.060120,0.064128,0.069138,0.075150,0.067134,0.059118,0.058116,0.061122,0.068136,0.075150,0.078156,0.069138,0.058116,0.042084,0.031062,0.025050,0.020040,0.019038
Minnesota,0.067000,0.065000,0.068000,0.069000,0.066000,0.070000,0.065000,0.062000,0.066000,0.076000,0.076000,0.066000,0.054000,0.039000,0.029000,0.024000,0.018000,0.020000
Mississippi,0.070000,0.069000,0.070000,0.076000,0.073000,0.064000,0.062000,0.065000,0.065000,0.070000,0.069000,0.063000,0.055000,0.043000,0.030000,0.024000,0.017000,0.015000
Missouri,0.065130,0.064128,0.066132,0.070140,0.070140,0.067134,0.062124,0.061122,0.063126,0.074148,0.075150,0.065130,0.056112,0.042084,0.033066,0.025050,0.020040,0.020040
Montana,0.062000,0.058000,0.064000,0.070000,0.066000,0.064000,0.059000,0.055000,0.060000,0.071000,0.079000,0.078000,0.065000,0.049000,0.033000,0.026000,0.021000,0.020000
Nebraska,0.072000,0.070000,0.069000,0.070000,0.072000,0.069000,0.063000,0.057000,0.064000,0.070000,0.072000,0.063000,0.054000,0.037000,0.029000,0.025000,0.022000,0.022000
Nevada,0.069000,0.068000,0.068000,0.068000,0.066000,0.072000,0.071000,0.071000,0.071000,0.070000,0.068000,0.058000,0.059000,0.043000,0.031000,0.022000,0.014000,0.011000
New Hampshire,0.051948,0.059940,0.063936,0.070929,0.063936,0.054945,0.054945,0.060939,0.074925,0.085914,0.084915,0.073926,0.062937,0.043956,0.029970,0.024975,0.018981,0.017982
New Jersey,0.061061,0.064064,0.067067,0.068068,0.062062,0.062062,0.064064,0.067067,0.073073,0.080080,0.077077,0.065065,0.054054,0.040040,0.030030,0.025025,0.020020,0.020020
New Mexico,0.069930,0.068931,0.069930,0.072927,0.068931,0.066933,0.060939,0.062937,0.058941,0.069930,0.070929,0.063936,0.060939,0.043956,0.031968,0.023976,0.018981,0.014985
New York,0.059059,0.060060,0.063063,0.070070,0.073073,0.071071,0.066066,0.064064,0.071071,0.075075,0.073073,0.064064,0.055055,0.040040,0.030030,0.024024,0.021021,0.020020
North Carolina,0.065868,0.065868,0.066866,0.069860,0.068862,0.064870,0.064870,0.069860,0.069860,0.072854,0.069860,0.062874,0.056886,0.042914,0.030938,0.022954,0.017964,0.015968
North Dakota,0.066066,0.063063,0.056056,0.070070,0.088088,0.073073,0.058058,0.056056,0.057057,0.069069,0.075075,0.069069,0.054054,0.039039,0.030030,0.028028,0.023023,0.025025
Ohio,0.061938,0.064935,0.066933,0.070929,0.065934,0.062937,0.060939,0.061938,0.065934,0.073926,0.076923,0.067932,0.057942,0.041958,0.031968,0.025974,0.020979,0.019980
Oklahoma,0.069930,0.068931,0.068931,0.069930,0.070929,0.070929,0.063936,0.062937,0.060939,0.068931,0.070929,0.062937,0.054945,0.041958,0.032967,0.024975,0.018981,0.015984
Oregon,0.060939,0.061938,0.063936,0.064935,0.066933,0.068931,0.067932,0.064935,0.064935,0.068931,0.071928,0.070929,0.063936,0.043956,0.031968,0.022977,0.019980,0.019980
Pennsylvania,0.056943,0.059940,0.061938,0.070929,0.068931,0.060939,0.057942,0.059940,0.066933,0.074925,0.076923,0.068931,0.059940,0.043956,0.032967,0.027972,0.024975,0.024975
Rhode Island,0.054054,0.058058,0.060060,0.076076,0.077077,0.062062,0.058058,0.058058,0.073073,0.077077,0.076076,0.068068,0.057057,0.040040,0.031031,0.026026,0.023023,0.025025
South Carolina,0.064935,0.062937,0.065934,0.070929,0.071928,0.064935,0.061938,0.064935,0.064935,0.071928,0.069930,0.065934,0.060939,0.045954,0.034965,0.023976,0.016983,0.015984
South Dakota,0.069930,0.062937,0.071928,0.073926,0.067932,0.068931,0.058941,0.058941,0.058941,0.070929,0.072927,0.066933,0.052947,0.039960,0.031968,0.025974,0.021978,0.023976
Tennessee,0.064000,0.064000,0.067000,0.069000,0.068000,0.064000,0.064000,0.067000,0.069000,0.073000,0.072000,0.064000,0.060000,0.044000,0.033000,0.025000,0.017000,0.016000
Texas,0.076000,0.077000,0.075000,0.075000,0.072000,0.073000,0.070000,0.071000,0.067000,0.070000,0.067000,0.056000,0.047000,0.034000,0.025000,0.019000,0.014000,0.012000
Utah,0.095095,0.090090,0.083083,0.080080,0.081081,0.084084,0.078078,0.066066,0.053053,0.057057,0.055055,0.048048,0.039039,0.028028,0.022022,0.016016,0.013013,0.011011
Vermont,0.051948,0.051948,0.063936,0.071928,0.071928,0.056943,0.054945,0.055944,0.067932,0.078921,0.082917,0.080919,0.064935,0.049950,0.028971,0.024975,0.019980,0.020979
Virginia,0.063063,0.063063,0.065065,0.070070,0.070070,0.070070,0.066066,0.068068,0.071071,0.077077,0.074074,0.063063,0.057057,0.040040,0.029029,0.022022,0.016016,0.015015
Washington,0.064935,0.064935,0.064935,0.067932,0.069930,0.070929,0.067932,0.066933,0.067932,0.071928,0.073926,0.066933,0.057942,0.039960,0.027972,0.020979,0.015984,0.017982
West Virginia,0.055110,0.058116,0.059118,0.066132,0.064128,0.057114,0.060120,0.063126,0.066132,0.070140,0.076152,0.076152,0.068136,0.051102,0.037074,0.030060,0.022044,0.020040
Wisconsin,0.061938,0.063936,0.066933,0.070929,0.067932,0.064935,0.060939,0.059940,0.066933,0.076923,0.076923,0.069930,0.053946,0.039960,0.030969,0.024975,0.020979,0.020979
Wyoming,0.072927,0.068931,0.062937,0.068931,0.068931,0.068931,0.066933,0.056943,0.059940,0.069930,0.079920,0.073926,0.055944,0.039960,0.030969,0.020979,0.016983,0.015984
