,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over
Alabama,290962,305510,320058,329757,344305,305510,310360,290962,320058,305510,344305,334607,295811,247318,184276,135782,92138,82439
Alaska,53044,53044,50834,50834,63358,60412,53781,46414,47150,45677,50834,50834,41256,28732,17681,11050,6630,5893
Arizona,430814,457740,457740,457740,491398,451009,444277,417352,424083,403889,430814,410620,383694,350037,275990,195213,134629,121166
Arkansas,189847,198746,195780,204679,207645,189847,186881,189847,186881,180948,198746,192813,177982,154251,115688,83058,59327,56361
California,2522162,2560965,2522162,2638570,2910187,2910187,2793780,2560965,2599767,2560965,2638570,2405755,2095335,1668507,1164075,853655,620840,659642
Colorado,332063,353487,358843,337419,385622,396334,401689,374910,353487,342775,369554,353487,321351,246369,166031,112473,74982,80337
Connecticut,190623,208607,233784,251767,244574,219397,219397,212203,230187,262557,287734,266154,219397,179833,125883,93513,71933,86320
Delaware,56136,57072,57072,60814,63621,62686,58943,55201,57072,60814,67364,69235,56136,52394,39295,27132,17776,16841
Florida,1074238,1114024,1153811,1193597,1312957,1273171,1233384,1173704,1253277,1312957,1432317,1332850,1233384,1153811,934984,696265,497332,517225
Georgia,656327,706814,716911,716911,727008,686619,686619,676521,716911,686619,696716,626035,555353,444283,323114,212044,141362,131265
Hawaii,90851,85173,85173,79495,103627,109306,100788,88012,88012,86593,92271,92271,88012,78075,48265,34069,28391,38328
Idaho,111143,122584,124219,119315,111143,104605,106240,101336,101336,93164,102971,99702,99702,80088,60475,40861,26151,26151
Illinois,785715,824357,850118,875879,901640,888760,888760,837237,850118,850118,914521,875879,747073,579626,425059,309133,231850,244731
Indiana,415601,441989,448586,461779,474973,422198,422198,402408,428795,422198,468376,448586,389214,316649,224293,158324,125340,125340
Iowa,192641,201963,208177,217498,223713,192641,198856,186427,180213,189534,220605,214391,192641,149142,108749,90106,68356,74571
Kansas,200377,206185,200377,203281,214897,191665,194569,174241,177145,168433,197473,188761,171337,130680,95832,72600,55176,60984
Kentucky,273634,286874,282461,291288,308941,278047,286874,278047,282461,291288,322182,308941,269220,220672,163297,114749,75028,79442
Louisiana,306878,316177,311528,311528,348725,334776,325477,292929,288279,288279,316177,311528,274330,213885,158088,111592,74394,74394
Maine,62514,71824,75815,81135,78475,77145,75815,74484,82465,91776,109067,107737,98426,82465,57193,39902,31922,31922
Maryland,364560,370537,382490,388466,406395,418348,406395,376513,394442,424324,454206,412372,352608,280891,197221,137457,95622,107575
Massachusetts,364252,370997,404724,458687,492414,478923,445196,397979,438451,472178,512651,472178,411469,323779,242834,168635,134908,148398
Michigan,564862,604502,644142,683781,733330,604502,594592,574772,614412,663961,733330,723421,644142,495493,376575,257656,198197,208107
Minnesota,349259,365630,360173,354716,360173,365630,382002,338344,332887,354716,409287,387459,327430,251029,180086,130972,98229,114600
Mississippi,191621,206591,212579,224555,209585,194615,188626,191621,194615,182638,197609,200603,170662,140721,107786,77846,53893,50899
Missouri,369878,394133,388069,400196,430514,394133,400196,357751,375942,375942,442641,418387,369878,297115,230416,163716,121271,121271
Montana,59367,65509,62438,64485,74721,62438,66532,60391,54249,58344,72674,79839,71650,57320,41966,29683,19448,20471
Nebraska,129823,133586,127942,129823,133586,124179,131705,112890,114771,107245,129823,127942,107245,82786,62089,48919,37630,39511
Nevada,176024,190219,184541,178863,190219,204415,201576,187380,198736,190219,193058,178863,164667,141954,107885,68138,45425,36908
New Hampshire,65013,72974,76955,92876,87569,78281,76955,74301,84916,96857,112779,104818,94203,72974,49092,33170,25209,27863
New Jersey,536290,554166,572043,580981,572043,572043,580981,572043,607795,643548,688239,625672,527352,420094,312836,214516,169825,196639
New Mexico,135562,141818,139733,141818,150161,137647,137647,123048,123048,123048,141818,139733,131391,108449,77166,58396,41711,33369
New York,1184773,1145281,1165027,1263758,1441474,1480967,1362489,1244012,1263758,1342743,1441474,1342743,1165027,928072,671371,493655,375178,434416
North Carolina,596637,656301,656301,666245,706021,646357,636413,626469,696077,666245,696077,666245,576749,507142,357982,248599,178991,169047
North Dakota,50284,49545,42150,51024,68032,56200,51763,42889,39932,42150,49545,50284,42889,31797,22923,18487,14789,17008
Ohio,684055,730432,742026,776808,788403,742026,718838,684055,742026,753620,846373,846373,730432,579708,428984,324636,220289,243477
Oklahoma,263707,275341,259829,267585,283097,263707,263707,236561,240439,224926,263707,252073,221048,186146,135731,100829,69804,65926
Oregon,226303,242184,246154,246154,266006,266006,273946,258065,266006,246154,262035,269976,273946,218363,158809,103226,71464,83375
Pennsylvania,716083,728870,780019,843955,869530,843955,792806,728870,792806,856743,946253,946253,831168,664934,485913,370829,294105,319680
Rhode Island,54868,56979,61200,73862,82303,71751,65420,62255,64365,72806,79137,74917,66475,52758,36931,25324,23213,28489
South Carolina,285116,309278,304446,318943,347938,314111,304446,294781,309278,309278,338273,323776,309278,275451,193299,125644,86984,82152
South Dakota,60575,58015,58869,58869,61428,55456,56309,46924,49484,47777,58869,58869,52043,43511,25595,21329,17916,20476
Tennessee,399510,419158,419158,432257,451905,432257,425707,412609,432257,432257,465003,445355,399510,340566,248875,170283,124437,104789
Texas,1940900,2021771,1994814,1940900,1967857,1940900,1940900,1833073,1833073,1698288,1752202,1617417,1347847,1051321,781751,539139,377397,350440
Utah,250146,258975,256032,226603,247203,211888,226603,208946,179517,153030,155973,147145,132430,100058,73572,55915,35314,32371
Vermont,30701,33834,33207,43232,46365,36340,36967,33834,38846,41353,48871,52004,44485,35714,26942,16290,14410,13157
Virginia,507903,524556,524556,557861,591166,591166,574513,532882,566187,566187,607819,549535,491251,391335,291420,191504,133220,141546
Washington,444876,451937,444876,437814,494307,508430,508430,466060,458999,451937,494307,480184,430753,353076,240092,155353,112984,127107
West Virginia,101767,105468,109169,112869,122121,109169,111019,107318,120271,120271,131373,138774,131373,114720,75863,59210,40707,38856
Wisconsin,339696,362726,374241,379999,403029,356968,374241,345453,345453,379999,437574,414544,368484,282120,201514,149696,115151,126666
Wyoming,37969,40890,36217,37385,42643,40306,43227,38554,32712,32712,39722,41474,40306,30375,18692,12267,11098,8178
