,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over
Alabama,303787,313431,323075,332719,342363,303787,303787,294143,323075,323075,347185,323075,289321,231457,173592,125372,86796,81974
Alaska,54127,51932,51201,49738,59978,57784,51932,45349,50469,49738,54858,52664,40961,22674,17554,9508,6583,5851
Arizona,439068,452174,458727,452174,471834,439068,432514,399748,432514,412855,425961,393195,373535,314556,242470,170384,124511,111405
Arkansas,191693,206439,197591,197591,206439,191693,188744,179896,188744,191693,203490,194642,171049,141558,112066,79626,56033,50135
California,2548775,2548775,2548775,2700941,2929190,2777024,2700941,2548775,2624858,2624858,2624858,2320527,1978154,1483615,1065160,798870,646704,646704
Colorado,337192,357943,337192,342380,363130,378693,378693,347567,357943,352755,373505,352755,290504,217878,140064,103751,72626,72626
Connecticut,193878,215420,236962,258504,229782,219011,215420,208240,251324,280047,287227,254914,211830,168746,114891,89758,75397,86168
Delaware,55942,56859,56859,62362,66030,58693,55025,54108,57776,65113,67864,63279,54108,45854,34849,25678,17424,17424
Florida,1062466,1120418,1120418,1197689,1313594,1217006,1178371,1159054,1255641,1352229,1390864,1274959,1178371,1062466,849972,637479,482939,482939
Georgia,674556,704316,714236,714236,714236,664636,684476,664636,734075,704316,684476,615036,525757,406717,277758,198398,138879,119039
Hawaii,89108,83538,82146,82146,103031,103031,96069,87715,87715,89108,96069,91892,89108,66831,44554,33415,27846,37592
Idaho,113296,118083,124466,113296,113296,106913,103722,100530,95743,97339,103722,97339,95743,73403,49467,38297,23935,27127
Illinois,811141,836891,875517,888392,888392,901267,888392,824016,875517,888392,927018,836891,721014,540760,386257,296130,231754,244629
Indiana,424926,438001,451076,464150,477225,411852,418389,392240,431464,444538,477225,438001,379165,281105,215732,156896,124209,117672
Iowa,196747,202896,202896,212118,224415,193673,196747,175228,184451,199822,224415,205970,184451,135264,104522,89151,67632,73780
Kansas,202013,202013,202013,207785,210671,193355,187583,167382,178926,187583,204899,193355,158724,124093,83691,69261,57718,60604
Kentucky,275966,280346,293487,289107,306629,275966,284726,271585,297868,306629,319770,302248,262824,205879,148934,109510,74467,70086
Louisiana,308326,308326,322132,312928,340540,331336,317530,280715,285317,303724,331336,303724,262307,197881,147260,105843,78232,69028
Maine,66459,77093,74434,85068,79751,73105,74434,73105,89055,98360,111652,107664,94372,73105,51838,39875,31900,29242
Maryland,364842,376612,370727,394265,406034,406034,394265,358958,411919,441342,453111,388381,347189,253036,176536,123575,100037,105922
Massachusetts,365537,378830,405414,471876,471876,465230,425353,385476,471876,498460,505106,458583,392122,299076,212676,159507,132922,159507
Michigan,573234,622651,662185,701718,711601,583118,583118,563351,662185,701718,761018,711601,612768,464517,326150,247084,197667,207550
Minnesota,349644,365781,349644,360402,355023,365781,371160,322748,349644,376539,408814,365781,311990,220544,166753,129099,96824,112961
Mississippi,202974,208944,211929,223869,223869,182080,191035,182080,194020,191035,202974,194020,170140,131336,101487,71638,50743,47758
Missouri,373363,391429,397451,409495,421539,397451,391429,343253,385407,409495,445627,409495,355297,277011,210769,156571,120439,114417
Montana,59303,66339,58298,63323,71365,62318,61313,57293,57293,63323,78400,78400,69354,52267,37190,28143,19097,21107
Nebraska,131742,131742,126175,126175,131742,126175,122464,113187,109475,118753,131742,122464,105764,77932,55665,46388,37110,38966
Nevada,182089,187607,184848,176571,187607,195884,198643,182089,198643,190366,184848,176571,154500,129669,91044,60696,44142,33107
New Hampshire,66035,73960,83205,93770,84525,76601,72639,76601,92450,105657,113581,101695,87167,64715,44904,33017,26414,25093
New Jersey,523010,558469,585062,585062,558469,558469,567333,558469,638250,682573,682573,593927,514146,390041,283666,212750,177291,186156
New Mexico,143902,150158,139731,150158,143902,143902,131388,125132,123046,131388,145987,137645,129303,100105,68822,52138,35454,35454
New York,1154645,1135075,1193785,1311207,1448199,1428629,1330777,1213356,1311207,1409058,1428629,1291637,1135075,841521,626248,469686,391405,410975
North Carolina,614380,653388,653388,663140,692397,624132,624132,633884,692397,682645,682645,633884,565620,458347,331570,234049,165785,156033
North Dakota,44776,44776,39878,48973,62966,51772,47574,39179,38479,41977,50373,46175,41977,27285,23087,17490,16791,16091
Ohio,692653,738830,761918,796551,785007,715741,715741,658020,761918,796551,877361,819639,715741,531034,392503,300149,230884,242428
Oklahoma,263222,267037,259407,259407,282296,263222,255592,232704,236518,240333,267037,247963,209815,171666,133518,95370,68666,64851
Oregon,233961,241759,237860,245659,265156,261256,272954,245659,261256,249558,272954,276854,253457,191068,136477,93584,74087,81886
Pennsylvania,714758,753048,778575,867920,893447,804102,765812,714758,842393,906211,970028,931738,778575,612649,446723,357379,306324,319088
Rhode Island,55665,55665,65118,75621,84023,66168,63017,60916,69319,75621,81922,73520,64067,46212,34659,26257,23106,28357
South Carolina,292870,307041,302318,321213,344831,302318,297594,283423,316489,321213,325936,321213,288147,245633,174777,122816,80303,75579
South Dakota,58334,59168,54168,59168,58334,55834,55001,46667,47501,51667,59168,58334,49167,32500,29167,20000,19167,20000
Tennessee,400287,419655,419655,426112,451937,419655,419655,413199,439024,445480,458393,432568,387374,316355,225968,161406,122668,103299
Texas,1928381,1954440,1954440,1876262,1928381,1876262,1876262,1772025,1798085,1719907,1719907,1511433,1276900,990249,677539,495124,364828,338769
Utah,256975,251265,242699,222712,236988,219857,225567,194159,162751,154185,154185,145619,114211,88513,65671,48539,37118,31408
Vermont,31300,33178,36934,45072,45072,35682,34430,32552,41316,45072,52584,51332,43820,32552,23162,16276,13146,13772
Virginia,507523,515709,523895,556638,581196,573010,564824,532081,573010,597568,597568,532081,474780,360178,261947,180089,130973,130973
Washington,441408,427614,448305,448305,482790,489687,482790,448305,468996,468996,503481,462099,420717,310365,213807,144837,117249,117249
West Virginia,105758,105758,109469,111324,128023,105758,113180,109469,120601,126168,139155,137300,135445,98336,76071,55662,40819,37108
Wisconsin,349310,372215,372215,389395,389395,366489,366489,332131,366489,406574,440932,400847,343583,246235,188971,143159,120254,120254
Wyoming,38043,38619,38619,38619,41501,41501,38619,32279,36313,35737,42078,42654,36313,24209,19021,12104,9799,9222
