,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over
Alabama,286679,315833,306115,330410,330410,315833,306115,306115,306115,306115,340128,335269,306115,262384,189500,136051,92320,82602
Alaska,54643,52428,48736,50213,62766,62766,56120,48736,42829,43567,49474,50951,44305,29537,18460,9599,7384,5907
Arizona,430168,457480,457480,464308,477964,464308,450652,430168,416511,409683,430168,416511,396027,361887,286778,204841,129733,129733
Arkansas,187626,199539,199539,202517,199539,196561,187626,184648,181670,181670,202517,199539,175714,157844,122106,80411,59564,59564
California,2505268,2544413,2505268,2622702,2896716,3014150,2818426,2622702,2583557,2583557,2661847,2466123,2152964,1761516,1213489,861185,626317,704606
Colorado,332851,360133,354677,349220,381960,420156,409243,381960,354677,349220,365590,354677,332851,261915,174610,114588,81848,81848
Connecticut,186726,208271,226225,251362,247771,219044,222634,208271,222634,258543,280089,269316,229816,179544,136453,93363,68226,89772
Delaware,55810,52972,61485,60539,63377,65269,59593,58647,52026,61485,68107,66215,61485,55810,40675,27432,17972,19864
Florida,1094648,1135191,1155462,1216276,1277090,1337903,1256818,1216276,1236547,1297361,1439260,1358175,1297361,1216276,973021,709494,506781,527053
Georgia,653751,715040,704825,725255,725255,704825,684395,694610,694610,694610,704825,643536,561817,469883,337090,214512,143008,132793
Hawaii,91622,85896,85896,77306,104507,113096,103075,88759,88759,85896,88759,97349,83032,80169,54400,35790,27200,40084
Idaho,112535,124119,124119,117500,110880,107570,109225,107570,97640,95985,102605,102605,99295,84401,61232,43028,28133,26478
Illinois,784459,823039,848759,861619,900199,887339,887339,848759,823039,848759,900199,874479,771599,604419,437239,308639,231479,244339
Indiana,417039,430279,456757,463377,483236,423659,417039,417039,410420,417039,456757,450138,403800,317744,238308,172111,112534,125773
