,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over
Iowa,193681,206177,203053,221796,221796,190557,199929,187433,181186,187433,212425,209301,203053,153071,115584,87469,65601,78097
Kansas,197991,200903,203814,209638,215461,189256,195079,177610,168875,168875,192168,195079,171786,136847,98995,72791,58232,61144
Kentucky,274355,278780,283205,296481,300906,287630,274355,278780,287630,283205,318606,309756,278780,234529,168153,115052,79651,75226
Louisiana,303597,326950,298926,312938,331621,336292,331621,298926,275572,280243,312938,312938,284914,228865,158804,112097,84073,74731
Maine,63807,69125,74442,81089,78430,75771,75771,70454,82418,90394,105016,110334,99699,86406,59819,42538,29245,31903
Maryland,366390,378403,372396,390416,402428,420448,408435,390416,378403,414441,456486,420448,360384,294313,204217,144153,102108,108115
Massachusetts,366898,373693,394076,455226,495992,482403,455226,414459,421254,468815,509581,475609,428048,339721,251393,163066,135888,156271
Michigan,575509,595354,635044,674735,714425,625122,595354,575509,595354,654890,724348,734270,654890,535819,367135,267909,188528,208374
Minnesota,351334,356823,362313,356823,362313,362313,384271,345844,329375,351334,395250,389761,340354,263500,186646,137239,104302,115281
Mississippi,188516,215447,200486,221432,215447,191509,182532,191509,194501,179539,197493,203478,173555,149616,110716,77800,50869,47877
Missouri,377187,395438,383271,407606,425857,401522,395438,377187,358936,377187,431940,425857,383271,310267,231179,164259,121673,121673
Montana,59911,65075,63009,67141,71273,63009,66108,63009,55779,58878,70240,74372,76438,61976,43383,29955,22724,20658
Nebraska,130837,132733,130837,130837,138421,119459,132733,123252,108082,108082,123252,127044,111875,87224,66366,47404,36027,43612
Nevada,176341,190795,190795,176341,187904,211031,202359,193686,193686,196577,196577,182123,173450,153214,112742,75161,46253,37580
New Hampshire,63869,69191,79836,91811,89150,78505,77175,71852,83828,95803,110440,110440,91811,75844,53224,37257,23950,27942
New Jersey,528522,546438,564354,573312,573312,573312,582270,573312,591228,644976,680808,644976,528522,438942,313530,214992,170202,197076
New Mexico,133446,141787,139702,141787,150127,137617,135532,125106,120936,118851,139702,141787,129276,112595,83404,56297,39617,39617
New York,1187747,1128360,1167951,1247134,1405501,1484684,1385705,1266930,1247134,1346113,1425296,1346113,1187747,969993,692852,514690,356324,435507
North Carolina,602568,642739,652782,682910,702996,662824,632696,632696,672867,672867,692953,672867,602568,532268,371583,261112,180770,170727
North Dakota,52228,49957,43144,49957,69637,59797,54498,44658,42387,39360,49200,49957,45415,31790,24221,16652,15138,18923
Ohio,685191,720032,754872,778099,778099,766485,720032,696805,708418,743259,824553,836166,754872,627124,418083,313562,232268,255495
Oklahoma,262059,269882,269882,269882,281616,269882,269882,238591,242502,226857,254236,254236,230768,191655,140808,105606,70404,66492
Oregon,229651,245767,237709,249796,265912,273970,277999,286057,241738,253825,261883,265912,282028,237709,157130,108782,72521,80579
Pennsylvania,716940,755347,742545,844965,844965,857767,793755,742545,755347,844965,934582,947385,844965,691335,499297,371272,281655,320062
Rhode Island,53871,61265,58096,73940,79222,74997,67603,62321,61265,70771,78166,79222,64434,54927,40139,26407,21125,27463
South Carolina,288872,308457,303561,328041,347626,328041,303561,293768,308457,313353,337834,332937,313353,288872,200741,132195,88130,83234
South Dakota,59234,60092,55800,60092,59234,55800,56658,51508,47215,47215,57517,60092,53225,42064,30904,22320,18886,20603
Tennessee,396017,415818,422419,429019,455420,442220,429019,409218,429019,435619,462020,462020,396017,356416,250811,171607,118805,112205
Texas,1977776,2060183,2005245,1977776,2005245,2005245,1977776,1867899,1840430,1730554,1758023,1620677,1428393,1126233,796604,549382,384567,357098
Utah,248661,260644,257649,236677,251657,215706,224693,221698,182751,155787,152791,143804,137812,104857,74897,53926,38946,32955
Vermont,30050,31928,34432,44448,46327,34432,36310,36936,33180,41944,48831,49457,48205,39440,25041,16903,13772,14398
Virginia,511362,528128,519745,553277,595192,595192,578426,561660,536511,561660,603575,561660,494596,419149,293404,201191,142510,142510
Washington,444561,458902,437391,451732,487583,530605,523435,473243,451732,458902,487583,487583,437391,372858,258132,164918,114725,129066
West Virginia,101427,103271,106959,114335,116180,112491,106959,112491,118024,118024,129088,132777,136465,118024,79297,57167,40570,40570
Wisconsin,334737,363594,363594,380908,403993,352051,369365,346280,352051,375136,427078,427078,369365,300109,201996,155826,109655,126969
Wyoming,38096,39269,40441,39855,39269,41027,41613,39269,32821,31649,38096,43371,38096,28719,20513,13480,9963,9963
