,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over
Alabama,0.062000,0.063000,0.068000,0.070000,0.072000,0.064000,0.063000,0.062000,0.066000,0.071000,0.072000,0.065000,0.062000,0.046000,0.033000,0.026000,0.018000,0.017000
Alaska,0.075000,0.070000,0.073000,0.069000,0.081000,0.079000,0.068000,0.065000,0.064000,0.071000,0.078000,0.073000,0.053000,0.031000,0.021000,0.013000,0.009000,0.007000
Arizona,0.069069,0.070070,0.070070,0.070070,0.071071,0.068068,0.066066,0.062062,0.065065,0.064064,0.065065,0.060060,0.057057,0.045045,0.035035,0.026026,0.019019,0.017017
Arkansas,0.067000,0.067000,0.068000,0.067000,0.069000,0.065000,0.065000,0.062000,0.063000,0.069000,0.068000,0.064000,0.060000,0.045000,0.036000,0.028000,0.020000,0.017000
California,0.067202,0.067202,0.068205,0.073220,0.076229,0.073220,0.070211,0.067202,0.070211,0.070211,0.069208,0.060181,0.051153,0.036108,0.027081,0.020060,0.016048,0.017051
Colorado,0.067067,0.068068,0.066066,0.066066,0.070070,0.074074,0.072072,0.067067,0.071071,0.070070,0.073073,0.067067,0.056056,0.037037,0.027027,0.019019,0.014014,0.015015
Connecticut,0.054945,0.061938,0.065934,0.070929,0.062937,0.060939,0.058941,0.057942,0.071928,0.079920,0.079920,0.068931,0.059940,0.043956,0.029970,0.024975,0.020979,0.024975
Delaware,0.061000,0.064000,0.062000,0.068000,0.072000,0.065000,0.061000,0.058000,0.067000,0.074000,0.073000,0.063000,0.065000,0.048000,0.035000,0.027000,0.019000,0.018000
Florida,0.055944,0.056943,0.058941,0.063936,0.066933,0.062937,0.059940,0.058941,0.067932,0.071928,0.071928,0.065934,0.061938,0.051948,0.040959,0.031968,0.026973,0.023976
Georgia,0.069000,0.071000,0.072000,0.074000,0.072000,0.067000,0.068000,0.069000,0.073000,0.073000,0.069000,0.060000,0.054000,0.038000,0.027000,0.019000,0.013000,0.012000
Hawaii,0.063936,0.058941,0.060939,0.060939,0.071928,0.074925,0.064935,0.060939,0.066933,0.066933,0.069930,0.066933,0.062937,0.044955,0.032967,0.024975,0.021978,0.023976
Idaho,0.075075,0.077077,0.075075,0.073073,0.070070,0.065065,0.065065,0.061061,0.062062,0.063063,0.066066,0.064064,0.054054,0.042042,0.032032,0.023023,0.017017,0.015015
Illinois,0.063936,0.066933,0.066933,0.070929,0.068931,0.069930,0.067932,0.064935,0.067932,0.070929,0.072927,0.063936,0.055944,0.038961,0.028971,0.022977,0.017982,0.018981
Indiana,0.066000,0.068000,0.070000,0.073000,0.071000,0.064000,0.064000,0.062000,0.066000,0.069000,0.073000,0.066000,0.057000,0.041000,0.030000,0.023000,0.019000,0.018000
Iowa,0.065000,0.065000,0.066000,0.071000,0.071000,0.064000,0.062000,0.057000,0.061000,0.068000,0.073000,0.067000,0.061000,0.040000,0.034000,0.027000,0.023000,0.025000
Kansas,0.069930,0.068931,0.070929,0.071928,0.072927,0.067932,0.062937,0.058941,0.062937,0.066933,0.071928,0.065934,0.054945,0.037962,0.028971,0.024975,0.019980,0.020979
Kentucky,0.064064,0.066066,0.065065,0.068068,0.068068,0.064064,0.065065,0.063063,0.067067,0.072072,0.074074,0.066066,0.061061,0.044044,0.033033,0.024024,0.018018,0.017017
Louisiana,0.068068,0.067067,0.069069,0.070070,0.076076,0.071071,0.067067,0.061061,0.063063,0.069069,0.071071,0.065065,0.058058,0.039039,0.031031,0.023023,0.016016,0.015015
Maine,0.050000,0.057000,0.059000,0.065000,0.059000,0.055000,0.054000,0.059000,0.067000,0.078000,0.083000,0.077000,0.073000,0.050000,0.039000,0.030000,0.023000,0.022000
Maryland,0.062124,0.063126,0.065130,0.069138,0.068136,0.068136,0.065130,0.062124,0.072144,0.077154,0.077154,0.066132,0.058116,0.041082,0.028056,0.022044,0.017034,0.018036
Massachusetts,0.054945,0.057942,0.060939,0.069930,0.071928,0.067932,0.062937,0.060939,0.070929,0.076923,0.076923,0.068931,0.057942,0.040959,0.030969,0.024975,0.020979,0.022977
Michigan,0.059000,0.063000,0.067000,0.073000,0.071000,0.059000,0.059000,0.060000,0.066000,0.073000,0.077000,0.071000,0.062000,0.043000,0.032000,0.025000,0.020000,0.020000
Minnesota,0.066000,0.067000,0.066000,0.069000,0.066000,0.069000,0.066000,0.058000,0.067000,0.073000,0.077000,0.067000,0.057000,0.039000,0.030000,0.024000,0.019000,0.020000
Mississippi,0.069000,0.068000,0.074000,0.076000,0.070000,0.064000,0.063000,0.063000,0.066000,0.067000,0.069000,0.064000,0.057000,0.040000,0.033000,0.023000,0.019000,0.015000
Missouri,0.063063,0.066066,0.065065,0.070070,0.069069,0.067067,0.064064,0.061061,0.062062,0.070070,0.075075,0.067067,0.059059,0.043043,0.033033,0.025025,0.020020,0.020020
Montana,0.060939,0.063936,0.058941,0.065934,0.071928,0.063936,0.061938,0.055944,0.054945,0.066933,0.077922,0.079920,0.065934,0.047952,0.035964,0.024975,0.021978,0.019980
Nebraska,0.071214,0.071214,0.067202,0.071214,0.070211,0.069208,0.064193,0.058175,0.061184,0.067202,0.072217,0.065196,0.057172,0.037111,0.031093,0.026078,0.019057,0.021063
Nevada,0.068000,0.070000,0.064000,0.066000,0.067000,0.072000,0.070000,0.069000,0.071000,0.070000,0.068000,0.061000,0.059000,0.043000,0.033000,0.022000,0.014000,0.013000
New Hampshire,0.051051,0.059059,0.062062,0.069069,0.065065,0.056056,0.055055,0.061061,0.071071,0.083083,0.086086,0.074074,0.067067,0.043043,0.034034,0.024024,0.020020,0.019019
New Jersey,0.061061,0.063063,0.066066,0.067067,0.062062,0.063063,0.064064,0.064064,0.074074,0.078078,0.077077,0.066066,0.057057,0.041041,0.030030,0.024024,0.021021,0.021021
New Mexico,0.069069,0.067067,0.072072,0.070070,0.071071,0.068068,0.064064,0.059059,0.059059,0.066066,0.070070,0.068068,0.060060,0.044044,0.034034,0.024024,0.018018,0.016016
New York,0.059000,0.059000,0.061000,0.069000,0.073000,0.072000,0.067000,0.063000,0.069000,0.074000,0.074000,0.066000,0.057000,0.041000,0.031000,0.024000,0.020000,0.021000
North Carolina,0.065000,0.065000,0.068000,0.069000,0.070000,0.064000,0.065000,0.065000,0.072000,0.072000,0.070000,0.065000,0.058000,0.043000,0.033000,0.024000,0.017000,0.015000
North Dakota,0.068000,0.063000,0.055000,0.068000,0.091000,0.074000,0.063000,0.054000,0.056000,0.064000,0.074000,0.068000,0.059000,0.037000,0.033000,0.023000,0.025000,0.025000
Ohio,0.061061,0.065065,0.066066,0.070070,0.067067,0.062062,0.061061,0.060060,0.066066,0.071071,0.077077,0.069069,0.062062,0.042042,0.033033,0.026026,0.021021,0.020020
Oklahoma,0.069930,0.067932,0.068931,0.069930,0.071928,0.069930,0.065934,0.061938,0.060939,0.065934,0.069930,0.063936,0.056943,0.041958,0.033966,0.024975,0.018981,0.015984
Oregon,0.062062,0.060060,0.063063,0.064064,0.068068,0.068068,0.069069,0.063063,0.067067,0.066066,0.071071,0.070070,0.066066,0.045045,0.034034,0.024024,0.019019,0.020020
Pennsylvania,0.056943,0.058941,0.061938,0.069930,0.068931,0.061938,0.058941,0.058941,0.064935,0.072927,0.077922,0.070929,0.061938,0.043956,0.033966,0.027972,0.023976,0.024975
Rhode Island,0.053053,0.058058,0.059059,0.074074,0.078078,0.063063,0.060060,0.060060,0.067067,0.074074,0.078078,0.069069,0.060060,0.042042,0.030030,0.026026,0.023023,0.025025
South Carolina,0.065000,0.064000,0.064000,0.070000,0.072000,0.064000,0.063000,0.062000,0.067000,0.069000,0.070000,0.066000,0.064000,0.048000,0.034000,0.025000,0.018000,0.015000
South Dakota,0.070929,0.067932,0.065934,0.071928,0.070929,0.065934,0.060939,0.055944,0.060939,0.067932,0.072927,0.063936,0.058941,0.040959,0.031968,0.025974,0.020979,0.024975
Tennessee,0.062187,0.063190,0.067202,0.067202,0.069208,0.065196,0.065196,0.063190,0.068205,0.072217,0.072217,0.066199,0.061184,0.044132,0.034102,0.025075,0.017051,0.017051
Texas,0.076000,0.077000,0.074000,0.074000,0.073000,0.072000,0.071000,0.069000,0.068000,0.068000,0.066000,0.057000,0.049000,0.035000,0.025000,0.019000,0.014000,0.013000
Utah,0.093093,0.089089,0.084084,0.079079,0.083083,0.078078,0.079079,0.065065,0.058058,0.053053,0.055055,0.050050,0.041041,0.029029,0.022022,0.017017,0.012012,0.012012
Vermont,0.048902,0.051896,0.060878,0.071856,0.071856,0.055888,0.056886,0.054890,0.068862,0.075848,0.083832,0.080838,0.068862,0.047904,0.033932,0.026946,0.020958,0.018962
Virginia,0.062937,0.063936,0.063936,0.067932,0.071928,0.068931,0.066933,0.063936,0.072927,0.074925,0.073926,0.063936,0.058941,0.040959,0.029970,0.021978,0.015984,0.015984
Washington,0.064000,0.063000,0.065000,0.066000,0.071000,0.071000,0.069000,0.065000,0.069000,0.070000,0.073000,0.067000,0.061000,0.042000,0.029000,0.021000,0.016000,0.018000
West Virginia,0.055888,0.056886,0.058882,0.064870,0.065868,0.056886,0.060878,0.060878,0.064870,0.068862,0.075848,0.075848,0.070858,0.051896,0.037924,0.029940,0.022954,0.019960
Wisconsin,0.060878,0.063872,0.066866,0.069860,0.067864,0.063872,0.063872,0.058882,0.065868,0.073852,0.076846,0.068862,0.059880,0.040918,0.030938,0.024950,0.020958,0.020958
Wyoming,0.068931,0.062937,0.068931,0.067932,0.070929,0.071928,0.067932,0.059940,0.056943,0.064935,0.076923,0.077922,0.056943,0.043956,0.028971,0.024975,0.015984,0.012987
