,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over
Alabama,286934,311251,301524,335567,325841,325841,301524,301524,296661,316114,330704,340431,301524,267481,194532,136172,97266,87539
Alaska,52674,53416,51190,48965,57125,63802,57867,48965,43029,43771,48965,54158,41546,31901,20773,11128,5935,6677
Arizona,436657,457450,457450,478243,478243,478243,450519,443588,408933,422795,422795,415864,415864,388139,291104,214863,145552,124759
Arkansas,188259,200212,197224,215153,194236,194236,188259,185271,179294,185271,194236,194236,182283,164353,119529,86659,59764,56776
California,2472751,2512001,2551251,2590501,2826001,3061501,2826001,2669001,2512001,2629751,2590501,2472751,2198000,1805500,1256000,902750,628000,706500
Colorado,332432,360135,354594,354594,387838,426621,415540,393378,354594,360135,360135,371216,326892,282567,177297,121891,77567,77567
Connecticut,185975,200281,225316,250351,250351,218163,218163,203857,218163,250351,275386,264657,239622,189551,132328,92987,71529,89411
Delaware,55219,54267,59028,60932,59028,66644,61884,50459,59028,59980,65692,69500,61884,59980,40938,30466,18089,18089
Florida,1113071,1133684,1174909,1216133,1257358,1360420,1298583,1236746,1216133,1319196,1422258,1422258,1319196,1277971,1010009,742047,515310,535923
Georgia,659863,701105,721725,732036,711415,721725,680484,701105,680484,701105,701105,659863,577380,505208,350552,226828,144345,134034
Hawaii,91427,85713,82856,78570,98570,105713,99998,91427,87141,87141,89999,91427,92856,84284,54285,38571,28571,38571
Idaho,114453,126235,121186,121186,112770,111087,109404,109404,95938,99305,99305,106037,100988,90889,63959,42078,30296,28613
Illinois,768092,806496,832100,857703,870504,896107,870504,832100,819298,844901,870504,857703,793695,627275,448053,307236,230427,256030
Indiana,417882,444414,437781,464313,477579,437781,417882,417882,397983,417882,444414,451047,411249,344918,232156,172459,119394,126028
Iowa,197485,203755,203755,219428,222563,194350,200620,197485,172408,188081,203755,213159,203755,166138,115983,87771,65828,78367
Kansas,197695,203510,197695,206417,212232,186066,191881,186066,168622,168622,183159,194788,177344,148271,98847,75589,52331,63960
Kentucky,275092,279529,283966,306151,297277,288403,275092,279529,275092,292840,306151,306151,283966,244033,168605,119798,84302,75428
Louisiana,308989,304308,318353,313671,323034,341761,327716,308989,276218,280899,304308,313671,285581,229401,173221,117041,79588,74906
