,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over
Maine,63910,74562,69236,82551,74562,79888,77225,73231,78557,90540,101192,109181,99860,91872,59916,39944,29292,34618
Maryland,360986,379036,373019,385052,397085,421151,415134,403101,367003,415134,439200,421151,373019,306838,210575,150411,102279,108296
Massachusetts,361024,361024,401894,463200,497259,483636,463200,408706,415518,463200,497259,483636,435953,347400,265659,177106,129423,156670
Michigan,575841,595698,615554,675124,704909,655267,595698,585769,575841,645339,704909,724765,665196,555984,387203,268064,188637,208494
Minnesota,353276,369836,353276,358796,364316,364316,380876,364316,320157,347756,380876,391916,347756,281517,193198,132478,104879,121438
Mississippi,188289,206222,209210,221165,212199,194267,185301,188289,185301,182312,191278,194267,182312,158402,110582,77706,50808,50808
Missouri,371673,383859,396045,414324,408231,408231,389952,383859,353394,377766,414324,432602,383859,322929,237627,164511,121860,127953
Montana,61508,63593,65678,65678,74018,62551,64636,62551,57338,61508,66721,78189,76103,64636,44828,31275,20850,21892
Nebraska,131591,133498,133498,129683,135405,123962,131591,122055,112519,108705,120148,123962,118241,93448,64841,45770,38142,41956
Nevada,182283,188163,191103,179343,185223,214624,208744,196983,194043,196983,194043,188163,176403,158763,117602,76441,47040,38220
New Hampshire,64070,74748,72078,88096,88096,81422,78752,78752,73413,93435,108118,110787,94770,81422,53391,36039,26695,29365
New Jersey,518779,554557,563501,572446,572446,572446,581390,599279,554557,626112,661890,644001,554557,456167,330945,232556,161000,196778
New Mexico,124860,137346,141509,143590,141509,141509,135265,129022,120698,118617,131103,139428,133184,120698,83240,60349,39539,39539
New York,1164972,1145226,1145226,1243953,1382170,1500641,1382170,1283443,1184717,1322934,1401915,1342679,1224207,1007009,710830,493632,375160,434396
North Carolina,598660,649394,659541,689981,679834,679834,639247,649394,659541,689981,689981,669688,618954,547926,395724,273963,182642,162348
North Dakota,54572,50024,44719,48508,64426,61394,54572,46235,40171,39413,47751,50782,44719,34865,23496,19706,13643,18190
Ohio,696862,708476,743319,766548,778162,778162,720091,708476,673633,743319,801391,847849,766548,638790,441346,325202,232287,255516
Oklahoma,262878,270725,270725,266802,278572,270725,266802,243260,231490,231490,247184,258955,231490,196178,145171,102012,74547,66700
Oregon,233327,241514,241514,249701,266075,286542,286542,282449,249701,257888,253794,266075,282449,253794,163738,114617,69588,90056
Pennsylvania,715916,728700,754269,830974,830974,869327,805406,767053,715916,830974,907680,946032,869327,728700,511369,370742,281252,332389
Rhode Island,53877,51764,64441,73949,78175,75006,67611,60216,62329,69724,77119,79231,68667,55990,41200,26410,22184,27467
South Carolina,287744,307589,312550,332394,327433,337356,307589,317511,292706,312550,332394,332394,322472,302628,213328,138911,89300,89300
South Dakota,60581,61447,57985,59716,59716,56254,55389,52792,45869,47599,54523,60581,56254,47599,29425,22501,17309,20770
Tennessee,405722,412374,425676,432327,445629,458932,425676,425676,412374,438978,452281,445629,419025,365815,259396,186233,119721,106419
Texas,2006106,2033969,2061832,2006106,1978244,2033969,2006106,1894656,1838931,1783206,1727480,1671755,1448854,1170229,835877,585114,390076,362213
Utah,253251,268507,253251,241046,253251,225790,222738,225790,183073,161714,149509,152560,140355,112895,76280,54921,39665,36614
Vermont,30605,33103,33728,41847,45595,37475,34352,34352,36226,40598,46219,49342,47469,39974,28731,18737,11867,14365
Virginia,504708,521532,521532,563591,580414,580414,572002,555179,538355,563591,597238,572002,513120,429002,302825,210295,143000,143000
Washington,451856,466432,444568,451856,481008,546600,524736,502872,444568,473720,481008,488296,459144,386264,269656,174912,116608,131184
West Virginia,102541,102541,106203,113528,115359,109866,106203,108035,115359,117190,126346,135501,130008,119021,84230,60426,36622,42115
Wisconsin,335165,358279,364058,381394,404509,358279,369837,358279,329386,364058,416067,427624,381394,312050,219590,156025,115574,127131
Wyoming,38057,43912,37472,37472,38057,40399,40399,36301,35715,33373,35715,39228,41570,30446,22834,14637,9368,9953
