,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over
Louisiana,0.065065,0.070070,0.064064,0.067067,0.071071,0.072072,0.071071,0.064064,0.059059,0.060060,0.067067,0.067067,0.061061,0.049049,0.034034,0.024024,0.018018,0.016016
Maine,0.048096,0.052104,0.056112,0.061122,0.059118,0.057114,0.057114,0.053106,0.062124,0.068136,0.079158,0.083166,0.075150,0.065130,0.045090,0.032064,0.022044,0.024048
Maryland,0.060939,0.062937,0.061938,0.064935,0.066933,0.069930,0.067932,0.064935,0.062937,0.068931,0.075924,0.069930,0.059940,0.048951,0.033966,0.023976,0.016983,0.017982
Massachusetts,0.054054,0.055055,0.058058,0.067067,0.073073,0.071071,0.067067,0.061061,0.062062,0.069069,0.075075,0.070070,0.063063,0.050050,0.037037,0.024024,0.020020,0.023023
Michigan,0.058000,0.060000,0.064000,0.068000,0.072000,0.063000,0.060000,0.058000,0.060000,0.066000,0.073000,0.074000,0.066000,0.054000,0.037000,0.027000,0.019000,0.021000
Minnesota,0.063936,0.064935,0.065934,0.064935,0.065934,0.065934,0.069930,0.062937,0.059940,0.063936,0.071928,0.070929,0.061938,0.047952,0.033966,0.024975,0.018981,0.020979
Mississippi,0.063000,0.072000,0.067000,0.074000,0.072000,0.064000,0.061000,0.064000,0.065000,0.060000,0.066000,0.068000,0.058000,0.050000,0.037000,0.026000,0.017000,0.016000
Missouri,0.061938,0.064935,0.062937,0.066933,0.069930,0.065934,0.064935,0.061938,0.058941,0.061938,0.070929,0.069930,0.062937,0.050949,0.037962,0.026973,0.019980,0.019980
Montana,0.058000,0.063000,0.061000,0.065000,0.069000,0.061000,0.064000,0.061000,0.054000,0.057000,0.068000,0.072000,0.074000,0.060000,0.042000,0.029000,0.022000,0.020000
Nebraska,0.068931,0.069930,0.068931,0.068931,0.072927,0.062937,0.069930,0.064935,0.056943,0.056943,0.064935,0.066933,0.058941,0.045954,0.034965,0.024975,0.018981,0.022977
Nevada,0.060878,0.065868,0.065868,0.060878,0.064870,0.072854,0.069860,0.066866,0.066866,0.067864,0.067864,0.062874,0.059880,0.052894,0.038922,0.025948,0.015968,0.012974
New Hampshire,0.047952,0.051948,0.059940,0.068931,0.066933,0.058941,0.057942,0.053946,0.062937,0.071928,0.082917,0.082917,0.068931,0.056943,0.039960,0.027972,0.017982,0.020979
New Jersey,0.059118,0.061122,0.063126,0.064128,0.064128,0.064128,0.065130,0.064128,0.066132,0.072144,0.076152,0.072144,0.059118,0.049098,0.035070,0.024048,0.019038,0.022044
New Mexico,0.063936,0.067932,0.066933,0.067932,0.071928,0.065934,0.064935,0.059940,0.057942,0.056943,0.066933,0.067932,0.061938,0.053946,0.039960,0.026973,0.018981,0.018981
New York,0.060000,0.057000,0.059000,0.063000,0.071000,0.075000,0.070000,0.064000,0.063000,0.068000,0.072000,0.068000,0.060000,0.049000,0.035000,0.026000,0.018000,0.022000
North Carolina,0.060000,0.064000,0.065000,0.068000,0.070000,0.066000,0.063000,0.063000,0.067000,0.067000,0.069000,0.067000,0.060000,0.053000,0.037000,0.026000,0.018000,0.017000
North Dakota,0.069000,0.066000,0.057000,0.066000,0.092000,0.079000,0.072000,0.059000,0.056000,0.052000,0.065000,0.066000,0.060000,0.042000,0.032000,0.022000,0.020000,0.025000
Ohio,0.059000,0.062000,0.065000,0.067000,0.067000,0.066000,0.062000,0.060000,0.061000,0.064000,0.071000,0.072000,0.065000,0.054000,0.036000,0.027000,0.020000,0.022000
Oklahoma,0.066933,0.068931,0.068931,0.068931,0.071928,0.068931,0.068931,0.060939,0.061938,0.057942,0.064935,0.064935,0.058941,0.048951,0.035964,0.026973,0.017982,0.016983
Oregon,0.057000,0.061000,0.059000,0.062000,0.066000,0.068000,0.069000,0.071000,0.060000,0.063000,0.065000,0.066000,0.070000,0.059000,0.039000,0.027000,0.018000,0.020000
Pennsylvania,0.056056,0.059059,0.058058,0.066066,0.066066,0.067067,0.062062,0.058058,0.059059,0.066066,0.073073,0.074074,0.066066,0.054054,0.039039,0.029029,0.022022,0.025025
Rhode Island,0.051051,0.058058,0.055055,0.070070,0.075075,0.071071,0.064064,0.059059,0.058058,0.067067,0.074074,0.075075,0.061061,0.052052,0.038038,0.025025,0.020020,0.026026
South Carolina,0.058941,0.062937,0.061938,0.066933,0.070929,0.066933,0.061938,0.059940,0.062937,0.063936,0.068931,0.067932,0.063936,0.058941,0.040959,0.026973,0.017982,0.016983
South Dakota,0.069000,0.070000,0.065000,0.070000,0.069000,0.065000,0.066000,0.060000,0.055000,0.055000,0.067000,0.070000,0.062000,0.049000,0.036000,0.026000,0.022000,0.024000
Tennessee,0.060060,0.063063,0.064064,0.065065,0.069069,0.067067,0.065065,0.062062,0.065065,0.066066,0.070070,0.070070,0.060060,0.054054,0.038038,0.026026,0.018018,0.017017
Texas,0.072000,0.075000,0.073000,0.072000,0.073000,0.073000,0.072000,0.068000,0.067000,0.063000,0.064000,0.059000,0.052000,0.041000,0.029000,0.020000,0.014000,0.013000
Utah,0.083000,0.087000,0.086000,0.079000,0.084000,0.072000,0.075000,0.074000,0.061000,0.052000,0.051000,0.048000,0.046000,0.035000,0.025000,0.018000,0.013000,0.011000
Vermont,0.048000,0.051000,0.055000,0.071000,0.074000,0.055000,0.058000,0.059000,0.053000,0.067000,0.078000,0.079000,0.077000,0.063000,0.040000,0.027000,0.022000,0.023000
Virginia,0.060878,0.062874,0.061876,0.065868,0.070858,0.070858,0.068862,0.066866,0.063872,0.066866,0.071856,0.066866,0.058882,0.049900,0.034930,0.023952,0.016966,0.016966
Washington,0.062000,0.064000,0.061000,0.063000,0.068000,0.074000,0.073000,0.066000,0.063000,0.064000,0.068000,0.068000,0.061000,0.052000,0.036000,0.023000,0.016000,0.018000
West Virginia,0.055000,0.056000,0.058000,0.062000,0.063000,0.061000,0.058000,0.061000,0.064000,0.064000,0.070000,0.072000,0.074000,0.064000,0.043000,0.031000,0.022000,0.022000
Wisconsin,0.058116,0.063126,0.063126,0.066132,0.070140,0.061122,0.064128,0.060120,0.061122,0.065130,0.074148,0.074148,0.064128,0.052104,0.035070,0.027054,0.019038,0.022044
Wyoming,0.065065,0.067067,0.069069,0.068068,0.067067,0.070070,0.071071,0.067067,0.056056,0.054054,0.065065,0.074074,0.065065,0.049049,0.035035,0.023023,0.017017,0.017017
