,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over
Alabama,0.059059,0.065065,0.063063,0.068068,0.068068,0.065065,0.063063,0.063063,0.063063,0.063063,0.070070,0.069069,0.063063,0.054054,0.039039,0.028028,0.019019,0.017017
Alaska,0.074000,0.071000,0.066000,0.068000,0.085000,0.085000,0.076000,0.066000,0.058000,0.059000,0.067000,0.069000,0.060000,0.040000,0.025000,0.013000,0.010000,0.008000
Arizona,0.063126,0.067134,0.067134,0.068136,0.070140,0.068136,0.066132,0.063126,0.061122,0.060120,0.063126,0.061122,0.058116,0.053106,0.042084,0.030060,0.019038,0.019038
Arkansas,0.063000,0.067000,0.067000,0.068000,0.067000,0.066000,0.063000,0.062000,0.061000,0.061000,0.068000,0.067000,0.059000,0.053000,0.041000,0.027000,0.020000,0.020000
California,0.064000,0.065000,0.064000,0.067000,0.074000,0.077000,0.072000,0.067000,0.066000,0.066000,0.068000,0.063000,0.055000,0.045000,0.031000,0.022000,0.016000,0.018000
Colorado,0.060939,0.065934,0.064935,0.063936,0.069930,0.076923,0.074925,0.069930,0.064935,0.063936,0.066933,0.064935,0.060939,0.047952,0.031968,0.020979,0.014985,0.014985
Connecticut,0.051896,0.057884,0.062874,0.069860,0.068862,0.060878,0.061876,0.057884,0.061876,0.071856,0.077844,0.074850,0.063872,0.049900,0.037924,0.025948,0.018962,0.024950
Delaware,0.058824,0.055833,0.064806,0.063809,0.066800,0.068794,0.062812,0.061815,0.054835,0.064806,0.071785,0.069791,0.064806,0.058824,0.042871,0.028913,0.018943,0.020937
Florida,0.054054,0.056056,0.057057,0.060060,0.063063,0.066066,0.062062,0.060060,0.061061,0.064064,0.071071,0.067067,0.064064,0.060060,0.048048,0.035035,0.025025,0.026026
Georgia,0.064064,0.070070,0.069069,0.071071,0.071071,0.069069,0.067067,0.068068,0.068068,0.068068,0.069069,0.063063,0.055055,0.046046,0.033033,0.021021,0.014014,0.013013
Hawaii,0.064000,0.060000,0.060000,0.054000,0.073000,0.079000,0.072000,0.062000,0.062000,0.060000,0.062000,0.068000,0.058000,0.056000,0.038000,0.025000,0.019000,0.028000
Idaho,0.068000,0.075000,0.075000,0.071000,0.067000,0.065000,0.066000,0.065000,0.059000,0.058000,0.062000,0.062000,0.060000,0.051000,0.037000,0.026000,0.017000,0.016000
Illinois,0.060878,0.063872,0.065868,0.066866,0.069860,0.068862,0.068862,0.065868,0.063872,0.065868,0.069860,0.067864,0.059880,0.046906,0.033932,0.023952,0.017964,0.018962
Indiana,0.063063,0.065065,0.069069,0.070070,0.073073,0.064064,0.063063,0.063063,0.062062,0.063063,0.069069,0.068068,0.061061,0.048048,0.036036,0.026026,0.017017,0.019019
Iowa,0.062124,0.066132,0.065130,0.071142,0.071142,0.061122,0.064128,0.060120,0.058116,0.060120,0.068136,0.067134,0.065130,0.049098,0.037074,0.028056,0.021042,0.025050
Kansas,0.067932,0.068931,0.069930,0.071928,0.073926,0.064935,0.066933,0.060939,0.057942,0.057942,0.065934,0.066933,0.058941,0.046953,0.033966,0.024975,0.019980,0.020979
Kentucky,0.062000,0.063000,0.064000,0.067000,0.068000,0.065000,0.062000,0.063000,0.065000,0.064000,0.072000,0.070000,0.063000,0.053000,0.038000,0.026000,0.018000,0.017000
