,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over
Alabama,290023,304524,328693,328693,352861,304524,309358,299690,309358,319025,343194,328693,290023,241686,178847,130510,87006,82173
Alaska,54399,50724,52929,52929,61015,61015,53664,47048,43372,47048,54399,52929,39697,27199,16172,10291,6616,5881
Arizona,430730,463863,450610,457237,483743,437357,437357,404224,430730,404224,430730,397597,377717,331331,258438,185545,125905,119279
Arkansas,189399,210115,195318,198277,207156,192359,192359,174603,192359,189399,201237,192359,174603,147968,112456,79903,59187,53268
California,2491613,2568278,2529946,2644943,2913271,2836606,2759941,2529946,2606611,2568278,2644943,2376616,2031623,1571633,1111643,804982,613320,689985
Colorado,331907,347712,358248,342443,368785,389859,384590,358248,363517,342443,374054,347712,310833,231808,147514,110635,73757,73757
Connecticut,190592,219360,230149,251725,237341,222956,215764,204976,240937,269706,284090,258917,215764,169015,122266,86305,71921,93498
Delaware,56470,57396,57396,58322,67579,61099,58322,57396,53693,62025,68505,61099,60173,48138,37955,24995,17589,17589
Florida,1075407,1094960,1153618,1192724,1310041,1231830,1192724,1134065,1270935,1329594,1407805,1329594,1192724,1114513,860325,664797,488821,488821
Georgia,659483,709443,709443,719436,729428,669475,679467,669475,719436,699451,689459,629506,529584,429663,299765,209835,139890,119906
Hawaii,91263,81435,87051,80031,105304,106708,96879,85647,91263,87051,92667,94071,84243,70202,50545,33697,30889,35101
Idaho,111237,120910,124134,114461,114461,103176,104788,95116,99952,96728,108013,101564,95116,74158,56424,37079,29018,25794
Illinois,798692,837338,863103,875985,914631,888867,901749,824456,863103,863103,927513,863103,734281,553931,412228,296289,231878,257642
Indiana,427108,446821,446821,453392,486246,413966,427108,400825,427108,433679,473104,446821,381112,302261,210268,151130,118276,131418
Iowa,191605,210148,197786,216329,225600,188515,200877,179244,185424,194696,219419,210148,191605,142159,105074,83441,67989,80350
Kansas,199683,205470,199683,205470,211258,191001,196789,176531,170743,173637,199683,191001,164955,121546,95500,69454,57879,63667
Kentucky,272508,281298,294484,290089,303275,281298,285694,276903,290089,298880,320856,303275,268112,215369,153835,105487,83510,74720
Louisiana,305281,323782,305281,305281,351535,333033,328408,282153,286779,291404,328408,314531,268277,203520,148015,106385,78632,69382
Maine,63758,70400,77041,82354,79698,77041,73056,73056,85011,95637,108920,107592,96966,77041,55788,39849,33207,29222
Maryland,367586,367586,379444,391301,403159,415016,403159,373515,397230,432803,456518,403159,343871,266796,189722,130433,100789,106718
Massachusetts,361412,381490,401569,455112,488576,468497,435033,401569,441726,488576,508654,475190,394876,314562,227556,167320,133856,153934
Michigan,573946,623424,643215,692693,722380,593737,583841,554154,653111,672902,742171,732276,613528,484885,346346,247390,197912,207808
Minnesota,346904,357745,363165,357745,363165,363165,374006,319802,346904,363165,411948,379426,319802,238496,173452,130089,102987,108407
Mississippi,197419,212375,206393,221349,221349,182463,194428,182463,200410,188446,200410,197419,173490,140586,98709,74780,50850,47859
Missouri,374738,392871,398915,398915,435180,398915,398915,356606,362650,392871,447268,411003,368694,290120,217590,163192,120883,120883
Montana,60909,64970,59894,68016,72076,62940,62940,58879,55834,59894,74107,79182,69031,56849,37561,28424,21318,21318
Nebraska,128927,134533,127059,130796,132664,123322,127059,110242,113979,113979,132664,121453,108373,84083,54186,46712,39238,41107
Nevada,178568,192519,181358,178568,186939,198099,200889,186939,192519,189729,189729,178568,159037,139506,97654,64173,39061,39061
New Hampshire,66172,76760,78084,91318,88671,75437,74113,75437,87348,103229,112494,104553,88671,68819,48967,34409,25145,26469
New Jersey,533960,551759,587356,578457,569557,569557,569557,560658,622953,667450,685249,622953,507262,400470,302577,213584,177986,195785
New Mexico,137628,141799,143884,145970,152225,135543,135543,125117,125117,127202,141799,139714,127202,102179,77155,54217,37535,35449
New York,1179067,1159416,1179067,1296974,1434532,1434532,1355927,1218369,1296974,1375578,1434532,1316625,1139765,903951,648487,491278,373371,432324
North Carolina,610579,659820,640123,649971,718908,630275,640123,630275,689364,669668,679516,649971,571187,492403,334834,246201,177265,167417
North Dakota,47743,44126,44850,48467,71615,52807,48467,42680,39063,40510,50637,51360,39786,29659,21701,19531,14467,17361
Ohio,694248,728960,763673,786814,798385,728960,717390,659536,752102,775244,856239,844668,717390,555398,404978,300841,231416,254557
Oklahoma,261838,273390,261838,261838,284942,261838,261838,227183,246436,231034,261838,254137,211781,177126,134769,100114,69310,65459
Oregon,227943,243664,239733,251524,263314,263314,275104,251524,263314,243664,267244,275104,263314,204363,149342,98251,70741,82531
Pennsylvania,715332,753654,766428,855844,881392,830297,779201,728106,804749,881392,958035,932487,804749,638690,472630,370440,293797,319345
Rhode Island,54678,56781,63090,73605,83069,70451,65193,60987,66245,75708,79914,75708,65193,50472,35751,24184,21030,31545
South Carolina,291265,315139,296040,324689,348563,305589,300814,286490,310364,315139,334238,319914,296040,253066,186218,124145,85947,76397
South Dakota,58296,61676,55761,56606,61676,55761,54917,50692,45623,49847,59141,56606,53227,36329,28725,21966,18587,19432
Tennessee,396254,422238,422238,428734,461214,422238,422238,402750,441726,435230,461214,435230,396254,324798,233855,168895,116927,103935
Texas,1930718,2010062,1957166,1904269,1957166,1904269,1904269,1772028,1798477,1692684,1745580,1560443,1295961,1005031,740549,502515,370274,343826
Utah,252375,255276,249474,226268,243673,211763,229168,205961,168250,147944,156647,145043,124737,95728,66720,49314,34810,34810
Vermont,30078,35717,34464,43864,45743,35091,35091,35091,37597,43864,51383,48877,46370,35717,24438,17545,12532,13159
Virginia,512145,520405,520405,553447,594749,578228,569967,528665,569967,586488,603009,553447,470843,379978,272593,181728,140426,132166
Washington,439198,446169,446169,439198,494969,494969,494969,446169,467084,453141,487998,474055,425255,327656,230056,153370,118513,125485
West Virginia,101986,101986,111258,116821,126092,101986,111258,114966,118675,120529,133509,142781,129801,105695,77880,57483,38940,38940
Wisconsin,338820,361790,373276,384761,396247,361790,373276,338820,356048,390504,442188,413475,356048,269907,195252,143567,114854,126339
Wyoming,38455,41368,38455,35542,44864,40203,41368,34376,36124,33211,41368,41951,38455,28550,18062,12235,8739,10487
